source_name,url,topic,jurisdiction,priority,status,date_ingested,chunk_count,last_checked,permission_status,notes
IHDA Homeowner Assistance Fund Home Repair (HAFHR),https://www.ihda.org/my-community/revitalization-programs/,housing_repair,illinois,High,live,2026-06-26,6,2026-06-26,,up to 60k for COVID delayed critical repairs
IHDA Home Repair and Accessibility Program (HRAP),https://www.ihda.org/my-community/revitalization-programs/,housing_repair,illinois,High,live,2026-06-26,6,2026-06-26,,up to 45k for low income homeowners
IDHS Trust Fund Home Modification Program,https://www.dhs.state.il.us/page.aspx?item=32042,housing_repair,illinois,High,live,2026-06-26,1,2026-06-26,,accessibility mods for income eligible elderly
USDA Section 504 Home Repair (Illinois),https://www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-repair-loans-grants/il,housing_repair,federal,High,dead,,0,2026-06-26,,loans and grants for very low income rural homeowners
Rebuilding Together Metro Chicago,http://www.rebuildingtogether-chi.com/,housing_repair,chicago-il,Medium,thin,,1,2026-06-26,,volunteer based repairs for low income homeowners
Chicagoland Habitat for Humanity Repair Programs,https://chicagolandhabitat.org/hafhr/,housing_repair,chicago-il,Medium,live,2026-06-26,9,2026-06-26,,HAFHR administrator for affiliated counties
NHS Chicago HAF Home Repair,https://nhschicago.org/home-repair-program/,housing_repair,chicago-il,Medium,live,2026-06-26,9,2026-06-26,,HAFHR administrator for Chicago
UCP Ramp Up Foundation,https://www.ucpnet.org/services/ramp-up-foundation,housing_repair,chicago-il,Medium,dead,,0,2026-06-26,,ramp construction for accessibility
Illinois Solar for All,https://illinoissfa.com,housing_repair,illinois,Low,empty,,0,2026-06-26,,income eligible solar installation
ComEd Income Eligible Energy Efficiency,https://www.comed.com/WaysToSave/ForYourHome/Pages/IncomeEligibleProgram.aspx,housing_repair,illinois,Low,empty,,0,2026-06-26,,free weatherization and efficiency upgrades
Cook County Home Repair Programs,https://www.cookcountyil.gov/service/housing-resources,housing_repair,chicago-il,Medium,dead,,0,2026-06-26,,suburban Cook County repair assistance
HUD Section 203(k) Rehab Mortgage,https://www.hud.gov/program_offices/housing/sfh/203k,housing_repair,federal,Low,thin,,1,2026-06-26,,renovation loan for homeowners
Medicaid for Immigrants Illinois,https://www.illinoislegalaid.org/legal-information/government-benefits-immigrants,benefits,illinois,High,live,2026-06-26,15,2026-06-26,,
All Kids Illinois,https://hfs.illinois.gov/medicalprograms/allkids.html,benefits,illinois,High,live,2026-06-26,1,2026-06-26,,
LIHEAP Illinois,https://dceo.illinois.gov/communityservices/utilitybillassistance.html,benefits,illinois,High,live,2026-06-26,2,2026-06-26,,
Illinois Medicaid Eligibility,https://hfs.illinois.gov/medicalclients/medicalprograms.html,benefits,illinois,High,live,2026-06-26,13,2026-06-26,,
Illinois SNAP Eligibility,https://www.dhs.state.il.us/page.aspx?item=30357,benefits,illinois,High,live,2026-06-26,1,2026-06-26,,
TANF Illinois (IDHS),https://www.dhs.state.il.us/page.aspx?item=30357,benefits,illinois,High,live,2026-06-26,1,2026-06-26,,
SNAP for Non-Citizens (USDA),https://www.fna.usda.gov/snap/recipient/eligibility/non-citizen,benefits,federal,High,thin,2026-06-24,1,2026-06-26,,
Chicago Fair Notice Ordinance,https://www.chicago.gov/city/en/depts/doh/provdrs/renters/svcs/rents-rights.html,housing,chicago-il,High,live,2026-06-26,3,2026-06-26,,
Chicago RLTO Full Text,https://www.chicago.gov/content/dam/city/depts/doh/RLTO/RLTO%20Summary_2023_EN_FINAL.pdf,housing,chicago-il,High,live,2026-06-26,14,2026-06-26,,
HUD Tenant Rights Guide,https://www.hud.gov/topics/rental_assistance/tenantrights,housing,federal,High,thin,2026-06-24,1,2026-06-26,,
Illinois Eviction Process Guide (ILAO),https://www.illinoislegalaid.org/legal-information/eviction,housing,illinois,High,live,2026-06-26,4,2026-06-26,,
Illinois Landlord Tenant Act,https://www.ilga.gov/Legislation/ILCS/Articles?ActID=2201&ChapterID=62&Print=True,housing,illinois,High,live,2026-06-24,1,2026-06-28,,url fixed after ILGA restructure; Print=True returns clean full text (was ilcs5.asp?ActID=2017)
Illinois Security Deposit Return Act,https://www.ilga.gov/Legislation/ILCS/Articles?ActID=2202&ChapterID=62&Print=True,housing,illinois,High,live,2026-06-24,1,2026-06-28,,url fixed after ILGA restructure; Print=True returns clean full text
Getting or Returning a Security Deposit (ILAO),https://www.illinoislegalaid.org/legal-information/getting-or-returning-security-deposit,housing,illinois,High,live,2026-06-26,9,2026-06-26,,fuller security deposit content; replaces 239-char thin page
Tenants' Rights and Rental Housing (ILAO),https://www.illinoislegalaid.org/legal-information/tenants-rights-and-rental-housing,housing,illinois,High,dead,2026-06-25,0,2026-06-26,,tenant rights hub; bolsters thin landlord-tenant source
City of Chicago Homeowner Resources,https://www.chicago.gov/city/en/depts/doh/provdrs/homeowners/svcs/homeowner-resources.html,housing_repair,chicago-il,Medium,live,2026-06-26,5,2026-06-26,,directory of repair programs (EHRP and others)
HUD FHA 203(k) Rehabilitation Mortgage,https://www.hud.gov/hud-partners/single-family-mortgage-programs-203k,housing_repair,federal,High,live,2026-06-26,3,2026-06-26,,fuller 203k content (~4k chars); targets repair-07 (replaces 192-char stub)
Basics of Public Utilities During Winter (ILAO),https://www.illinoislegalaid.org/legal-information/basics-public-utilities-during-winter,money_debt,illinois,High,live,2026-06-26,11,2026-06-26,,winter utility shutoff moratorium; replaces dead ICC 83 IAC 280 page
Debt Collections Resources (ILAO),https://www.illinoislegalaid.org/legal-information/debt-collections,money_debt,illinois,High,live,2026-06-26,3,2026-06-26,,overview of debt-collection help; replaces dead ILAO debt page
Illinois AG Consumer Protection - Finance and Credit,https://illinoisattorneygeneral.gov/consumer-protection/finance-and-credit/,money_debt,illinois,Medium,live,2026-06-26,2,2026-06-26,,AG consumer finance protections; replaces dead Consumer Fraud Act page
Responding to Debt Collectors (ILAO),https://www.illinoislegalaid.org/legal-information/my-rights-under-fair-debt-collection-practices-act,money_debt,illinois,High,live,2026-06-26,15,2026-06-26,,plain-language debt collection rights + Collection Agency Act licensing; targets debt-04
What Are Payday Loans (ILAO),https://www.illinoislegalaid.org/legal-information/what-are-payday-loans,money_debt,illinois,High,live,2026-06-26,17,2026-06-26,,36% PLPA cap + payday rules in plain language; targets debt-05
Apply for SSI and SSDI (ILAO),https://www.illinoislegalaid.org/legal-information/apply-ssi-and-ssdi-local-social-security-office,benefits,illinois,Medium,live,2026-06-26,3,2026-06-26,,how to apply for disability
Eligible for SSI Benefits (ILAO),https://www.illinoislegalaid.org/legal-information/eligible-supplemental-security-income-or-ssi-benefits,benefits,illinois,High,live,2026-06-26,12,2026-06-26,,SSI eligibility
File an Unemployment Claim (IDES),https://ides.illinois.gov/unemployment/file-a-claim.html,benefits,illinois,Medium,live,2026-06-26,1,2026-06-26,,how to file
Food Assistance for Women Infants and Children WIC (ILAO),https://www.illinoislegalaid.org/legal-information/assistance-women-infants-and-children-or-wic,benefits,illinois,Medium,live,2026-06-26,3,2026-06-26,,WIC eligibility plain language
Get Covered Illinois Marketplace,https://getcovered.illinois.gov/,benefits,illinois,Medium,live,2026-06-26,2,2026-06-26,,official ACA marketplace
Health Insurance under the Affordable Care Act (ILAO),https://www.illinoislegalaid.org/legal-information/health-insurance-under-affordable-care-act,benefits,illinois,Medium,live,2026-06-26,8,2026-06-26,,ACA marketplace basics
No Surprises Act (ILAO),https://www.illinoislegalaid.org/legal-information/no-surprises-acts,benefits,illinois,Medium,live,2026-06-26,16,2026-06-26,,surprise medical bill protections
Overview of Social Security Programs (ILAO),https://www.illinoislegalaid.org/legal-information/overview-social-security-programs,benefits,illinois,Medium,live,2026-06-26,11,2026-06-26,,SSDI vs SSI vs retirement
Social Security Benefit Basics (ILAO),https://www.illinoislegalaid.org/legal-information/social-security-benefit-basics,benefits,illinois,High,live,2026-06-26,11,2026-06-26,,SSA programs overview
Unemployment Insurance Eligibility (IDES),https://ides.illinois.gov/unemployment/insurance/ui-eligibility.html,benefits,illinois,High,live,2026-06-26,2,2026-06-26,,who qualifies for unemployment
Chicago Residential Landlord Tenant Ordinance RLTO (ILAO),https://www.illinoislegalaid.org/legal-information/chicago-residential-landlord-tenant-ordinance-or-rlto,housing,chicago-il,High,live,2026-06-26,19,2026-06-26,,plain-language RLTO summary
Common Eviction Defenses (ILAO),https://www.illinoislegalaid.org/legal-information/common-eviction-defenses,housing,illinois,High,live,2026-06-26,13,2026-06-26,,defenses to an eviction
Cook County Just Housing Amendment,https://www.cookcountyil.gov/content/just-housing-amendment-human-rights-ordinance,housing,cook-county-il,Medium,live,2026-06-26,9,2026-06-26,,criminal-history screening protections
Going to Court for an Eviction Case (ILAO),https://www.illinoislegalaid.org/legal-information/understanding-eviction-tenant,housing,illinois,High,live,2026-06-26,6,2026-06-26,,eviction process and court steps
Keeping a Section 8 Housing Voucher (ILAO),https://www.illinoislegalaid.org/legal-information/keeping-section-8-housing-voucher,housing,illinois,High,live,2026-06-28,1,2026-06-28,,replaced login-gated HCV overview page with fetchable how-to
Housing Discrimination Basics (ILAO),https://www.illinoislegalaid.org/legal-information/housing-discrimination-basics,housing,illinois,Medium,live,2026-06-26,4,2026-06-26,,fair housing protections
Landlord-Tenant Laws (ILAO),https://www.illinoislegalaid.org/legal-information/landlord-tenant-laws,housing,illinois,Medium,live,2026-06-26,19,2026-06-26,,general landlord-tenant FAQ
Lockouts and Emergency Rental Repairs (ILAO),https://www.illinoislegalaid.org/legal-information/lockouts,housing,illinois,High,live,2026-06-26,29,2026-06-26,,illegal lockout remedies
Losing a Section 8 Voucher (ILAO),https://www.illinoislegalaid.org/legal-information/losing-section-8-voucher,housing,illinois,Medium,live,2026-06-26,6,2026-06-26,,voucher termination and hearings
Rental Living Conditions (ILAO),https://www.illinoislegalaid.org/legal-information/rental-living-conditions,housing,illinois,Medium,live,2026-06-26,4,2026-06-26,,habitability standards
Rental Repair Rights and Landlord Access (ILAO),https://www.illinoislegalaid.org/legal-information/rental-repair-rights-and-landlord-access,housing,illinois,High,live,2026-06-26,19,2026-06-26,,landlord repair duties and entry
Requesting Rental Repairs (ILAO),https://www.illinoislegalaid.org/legal-information/requesting-rental-repairs,housing,illinois,Medium,live,2026-06-26,10,2026-06-26,,how to demand repairs
Responding to Eviction Papers (ILAO),https://www.illinoislegalaid.org/legal-information/responding-eviction-papers,housing,illinois,High,live,2026-06-26,13,2026-06-26,,how to answer an eviction
Source of Income Protections for Renters (ILAO),https://www.illinoislegalaid.org/legal-information/source-income-protections-renters,housing,illinois,High,live,2026-06-26,16,2026-06-26,,voucher/source-of-income discrimination
Tenants Rights and Rental Housing (ILAO),https://www.illinoislegalaid.org/legal-information/tenants-rights-and-rental-housing,housing,illinois,High,live,2026-06-26,3,2026-06-26,,tenant rights hub
Paying Public Utilities Through My Landlord (ILAO),https://www.illinoislegalaid.org/legal-information/paying-public-utilities-through-my-landlord,housing,illinois,Medium,live,2026-06-28,1,2026-06-28,,replaced login-gated utility-shut page with fetchable equivalent
Illinois Home Weatherization Assistance Program (DCEO),https://dceo.illinois.gov/communityservices/homeweatherization.html,housing_repair,illinois,High,live,2026-06-26,3,2026-06-26,,free energy efficiency upgrades for low-income
Keep Warm Illinois - Families and Individuals,https://keepwarm.illinois.gov/state-assistance/families-and-individuals.html,housing_repair,illinois,Medium,live,2026-06-26,2,2026-06-26,,energy bill and weatherization help
Immigration Court Process (EOIR),https://www.justice.gov/eoir/policy-manual-eoir/part-II/icpm,immigration,federal,High,dead,,0,2026-06-26,,
ILRC Know Your Rights Guide,https://www.ilrc.org/know-your-rights,immigration,federal,High,dead,,0,2026-06-26,,
USCIS Asylum Information,https://www.uscis.gov/humanitarian/refugees-and-asylum/asylum,immigration,federal,High,dead,,0,2026-06-26,,
USCIS I-589 Instructions,https://www.uscis.gov/sites/default/files/document/forms/i-589instr.pdf,immigration,federal,High,dead,,0,2026-06-26,,
TPS Designated Countries,https://www.uscis.gov/humanitarian/temporary-protected-status,immigration,federal,High,dead,,0,2026-06-26,,
USCIS Work Authorization (I-765),https://www.uscis.gov/i-765,immigration,federal,High,dead,,0,2026-06-26,,
Bankruptcy Basics (ILAO),https://www.illinoislegalaid.org/legal-information/filing-bankruptcy-0,money_debt,illinois,High,live,2026-06-26,13,2026-06-26,,chapter 7 vs 13 overview
Can a Debt Collector Sue You (ILAO),https://www.illinoislegalaid.org/legal-information/can-collection-agency-sue-you,money_debt,illinois,Medium,live,2026-06-26,6,2026-06-26,,statute of limitations on debt
Chapter 13 versus Chapter 7 Bankruptcy (ILAO),https://www.illinoislegalaid.org/legal-information/chapter-13-versus-chapter-7-bankruptcy,money_debt,illinois,Medium,live,2026-06-26,9,2026-06-26,,choosing a chapter
Exempt Assets in Bankruptcy (ILAO),https://www.illinoislegalaid.org/legal-information/exempt-assets-bankruptcy,money_debt,illinois,Medium,live,2026-06-26,8,2026-06-26,,property you can keep
Handling a Wage Garnishment or Third Party Citation (ILAO),https://www.illinoislegalaid.org/legal-information/handling-wage-garnishment-or-third-party-citation,money_debt,illinois,Medium,live,2026-06-26,8,2026-06-26,,bank account and wage citations
Medical Bills and Debt (ILAO),https://www.illinoislegalaid.org/legal-information/medical-bills-and-debt,money_debt,illinois,High,live,2026-06-26,16,2026-06-26,,Fair Patient Billing Act + hospital financial assistance
Money and Property Debtors Can Protect (ILAO),https://www.illinoislegalaid.org/legal-information/money-and-property-debtors-can-protect-collection-agent,money_debt,illinois,High,live,2026-06-26,11,2026-06-26,,exemptions from garnishment
Receiving a Debt Collection Lawsuit (ILAO),https://www.illinoislegalaid.org/legal-information/receiving-debt-collection-lawsuit-basics,money_debt,illinois,High,live,2026-06-26,10,2026-06-26,,what to do when served
Responding to a Car Repossession (ILAO),https://www.illinoislegalaid.org/legal-information/responding-car-repossession,money_debt,illinois,Medium,live,2026-06-26,5,2026-06-26,,steps after a repo
Responding to a Debt Collection Lawsuit (ILAO),https://www.illinoislegalaid.org/legal-information/responding-debt-collection-lawsuit-basics,money_debt,illinois,High,live,2026-06-26,20,2026-06-26,,how to answer a debt lawsuit
Understanding Car Repossession (ILAO),https://www.illinoislegalaid.org/legal-information/understanding-car-repossession,money_debt,illinois,High,live,2026-06-26,9,2026-06-26,,repossession and redemption rights
Understanding Collection-Proof Status (ILAO),https://www.illinoislegalaid.org/legal-information/understanding-collection-proof-status,money_debt,illinois,High,live,2026-06-26,6,2026-06-26,,when income/assets are judgment-proof
Free Civil Legal Aid (ILAO),https://www.illinoislegalaid.org/legal-information/can-i-receive-free-civil-legal-aid,resources,illinois,Medium,live,2026-06-26,12,2026-06-26,,who qualifies for free legal aid
Get Legal Help (ILAO),https://www.illinoislegalaid.org/get-legal-help,resources,illinois,High,live,2026-06-26,2,2026-06-26,,how to find free legal aid
AABD Benefits for Older Adults and People with Disabilities (ILAO),https://www.illinoislegalaid.org/legal-information/aabd-benefits-older-adults-and-people-disabilities,benefits,illinois,High,live,2026-06-26,9,2026-06-26,,cash + medical aid for aged/blind/disabled (elders theme)
Appealing an Unemployment Denial (ILAO),https://www.illinoislegalaid.org/legal-information/appealing-ides-unemployment-decision,benefits,illinois,High,live,2026-06-26,17,2026-06-26,,how to appeal an IDES denial - referee and Board of Review
Applying for SNAP Benefits (ILAO),https://www.illinoislegalaid.org/legal-information/applying-food-stamps-snap-benefits,benefits,illinois,High,live,2026-06-26,6,2026-06-26,,step-by-step SNAP application
Applying for TANF Benefits (ILAO),https://www.illinoislegalaid.org/legal-information/applying-tanf-benefits,benefits,illinois,High,live,2026-06-26,5,2026-06-26,,how to apply for TANF cash assistance
Emergency Cash Assistance for Crisis Victims (ILAO),https://www.illinoislegalaid.org/legal-information/how-can-i-get-cash-assistance-victim-crisis,benefits,illinois,Medium,live,2026-06-26,4,2026-06-26,,emergency/crisis cash assistance options
General Assistance (ILAO),https://www.illinoislegalaid.org/legal-information/general-assistance-common-questions,benefits,illinois,Medium,live,2026-06-26,10,2026-06-26,,local General Assistance cash help
Getting Temporary Financial Help with TANF (ILAO),https://www.illinoislegalaid.org/legal-information/getting-temporary-financial-help-tanf,benefits,illinois,Medium,live,2026-06-26,10,2026-06-26,,TANF overview and eligibility
Illinois Child Care Assistance Program CCAP (IDHS),https://www.dhs.state.il.us/page.aspx?item=104995,benefits,illinois,High,live,2026-06-26,1,2026-06-26,,CCAP eligibility and how to apply for childcare help
Medicaid Common Questions (ILAO),https://www.illinoislegalaid.org/legal-information/medicaid-common-questions,benefits,illinois,Medium,live,2026-06-26,17,2026-06-26,,Medicaid eligibility and coverage FAQ
SNAP Work Requirements (ILAO),https://www.illinoislegalaid.org/legal-information/snap-work-requirements,benefits,illinois,High,live,2026-06-26,16,2026-06-26,,ABAWD 80-hour work rules starting Feb 2026
TANF Payment Levels (ILAO),https://www.illinoislegalaid.org/legal-information/tanf-payment-levels,benefits,illinois,Medium,live,2026-06-26,8,2026-06-26,,how much TANF pays by family size
Addressing Lease Violations (ILAO),https://www.illinoislegalaid.org/legal-information/addressing-lease-violations,housing,illinois,Medium,live,2026-06-26,18,2026-06-26,,cure-or-quit notices and tenant responses to violations
Ending a Lease (ILAO),https://www.illinoislegalaid.org/legal-information/ending-lease,housing,illinois,Medium,live,2026-06-26,28,2026-06-26,,breaking or ending a lease early and notice rules
Evicting Friends Unmarried Partners and Family Members (ILAO),https://www.illinoislegalaid.org/legal-information/evicting-friends-unmarried-partners-and-adult-family-members,housing,illinois,Medium,live,2026-06-26,14,2026-06-26,,removing a non-leaseholder from a home
Housing Assistance and Public Housing (ILAO),https://www.illinoislegalaid.org/legal-information/housing-assistance-and-public-housing,housing,illinois,High,live,2026-06-26,3,2026-06-26,,overview of subsidized housing programs and rights
Housing Programs for Minors and People with Disabilities (ILAO),https://www.illinoislegalaid.org/legal-information/housing-programs-minors-and-people-disabilities,housing,illinois,Medium,live,2026-06-26,22,2026-06-26,,accessible/supportive housing programs
Housing Protections for Survivors of Domestic Violence (ILAO),https://www.illinoislegalaid.org/legal-information/housing-protections-survivors-domestic-violence-dating-violence-stalking-and,housing,illinois,High,live,2026-06-26,29,2026-06-26,,Safe Homes Act - break lease and lock changes
Keeping a Section 8 Housing Voucher (ILAO),https://www.illinoislegalaid.org/legal-information/keeping-section-8-housing-voucher,housing,illinois,High,live,2026-06-26,8,2026-06-26,,obligations to avoid losing an HCV voucher
Rent Changes in Subsidized Housing (ILAO),https://www.illinoislegalaid.org/legal-information/rent-changes-subsidized-housing,housing,illinois,High,live,2026-06-26,6,2026-06-26,,how rent is recalculated in Section 8 / public housing
What Happens If I Have an Eviction on My Record (ILAO),https://www.illinoislegalaid.org/legal-information/what-happens-if-i-have-eviction-my-record,housing,illinois,High,live,2026-06-26,8,2026-06-26,,eviction record sealing + tenant screening reports
Written Eviction Notices (ILAO),https://www.illinoislegalaid.org/legal-information/written-eviction-notices,housing,illinois,High,live,2026-06-26,19,2026-06-26,,notice types and required timelines before eviction
Disputing Inaccurate Information on Your Credit Report (ILAO),https://www.illinoislegalaid.org/legal-information/information-included-credit-report,money_debt,illinois,High,live,2026-06-26,4,2026-06-26,,how to dispute credit report and background check errors
How to Prevent Fraud (ILAO),https://www.illinoislegalaid.org/legal-information/how-prevent-fraud,money_debt,illinois,Medium,live,2026-06-26,7,2026-06-26,,recognizing and avoiding consumer scams
Identity Theft and Coerced Debt (ILAO),https://www.illinoislegalaid.org/legal-information/identity-theft-and-coerced-debt,money_debt,illinois,High,live,2026-06-26,16,2026-06-26,,disputing debt from identity theft or coercion
IHDA Saving My Home - Foreclosure Prevention,https://www.ihda.org/my-home/saving-my-home/,money_debt,illinois,High,live,2026-06-26,8,2026-06-26,,free foreclosure prevention counseling for homeowners
Utility Shutoff in Chicago (ILAO),https://www.illinoislegalaid.org/legal-information/utility-shutoff-chicago,money_debt,chicago-il,Medium,live,2026-06-26,6,2026-06-26,,Chicago utility shutoff protections and reconnection
Court Fees and Fee Waivers Basics (ILAO),https://www.illinoislegalaid.org/legal-information/court-fees-and-fee-waivers-basics,resources,illinois,High,live,2026-06-26,6,2026-06-26,,how to ask a court to waive filing fees
Filing Court Papers for Free (ILAO),https://www.illinoislegalaid.org/legal-information/filing-court-papers-free,resources,illinois,High,live,2026-06-26,8,2026-06-26,,e-filing and fee-waiver how-to for self-represented people
Get Legal Help in Cook County (ILAO),https://www.illinoislegalaid.org/legal-information/get-legal-help-cook-county,resources,cook-county-il,High,live,2026-06-26,4,2026-06-26,,county-specific legal aid routing directory
Can My Landlord Evict Me for Being an Immigrant (ILAO),https://www.illinoislegalaid.org/legal-information/can-my-landlord-evict-me-being-immigrant,housing,illinois,High,live,2026-06-26,16,2026-06-26,,Immigrant Tenant Protection Act - no eviction or threats over status
Chicago Renting Right (City of Chicago),https://www.chicago.gov/city/en/depts/doh/provdrs/renters/svcs/rents-rights.html,housing,chicago-il,High,live,2026-06-26,3,2026-06-26,,Chicago renter rights landing page and RLTO summary
Eviction in a Mobile Home Park (ILAO),https://www.illinoislegalaid.org/legal-information/eviction-mobile-home-park,housing,illinois,Medium,live,2026-06-26,6,2026-06-26,,eviction rules specific to mobile home parks
Fair Housing in Illinois (ILAO),https://www.illinoislegalaid.org/legal-information/fair-housing-illinois,housing,illinois,High,live,2026-06-26,16,2026-06-26,,protected classes and how to file a discrimination complaint
Living in a Mobile Home Park (ILAO),https://www.illinoislegalaid.org/legal-information/living-mobile-home-park,housing,illinois,Medium,live,2026-06-26,5,2026-06-26,,Mobile Home Landlord and Tenant Rights Act overview
Collecting Unpaid Wages (ILAO),https://www.illinoislegalaid.org/legal-information/collecting-unpaid-wages,money_debt,illinois,High,live,2026-06-26,5,2026-06-26,,wage theft - recover up to 3 years plus damages under Wage Payment Act
Starting a Case to Get Back Unpaid Wages (ILAO),https://www.illinoislegalaid.org/legal-information/starting-case-get-back-unpaid-wages,money_debt,illinois,High,live,2026-06-26,10,2026-06-26,,how to file an IDOL wage claim (no lawyer needed)
