"key","English (source)","Tagalog","status (OK / FIX)","suggested correction","notes"
"triage.area.collar","Collar county (DuPage, Lake, Will…)","Karatig na county (DuPage, Lake, Will…)","","",""
"triage.area.elsewhere","Elsewhere in Illinois","Ibang lugar sa Illinois","","",""
"triage.zip.prompt","What is your ZIP code? (optional)","Ano ang iyong ZIP code? (opsyonal)","","",""
"triage.zip.placeholder","e.g. 60601","hal. 60601","","",""
"triage.zip.next","Next","Susunod","","",""
"triage.subject.prompt","What is this about?","Tungkol saan ito?","","",""
"triage.skip","Skip these and just ask →","Laktawan at magtanong na lang →","","",""
"triage.edit","Change","Baguhin","","",""
"triage.summary","Helping you in","Tinutulungan ka sa","","",""
"chat.live","Live conversation","Live na usapan","","",""
"chat.question","question so far","tanong sa ngayon","","",""
"chat.questions","questions so far","mga tanong sa ngayon","","",""
"chat.allCite","All answers cite the law","Lahat ng sagot ay sumisipi sa batas","","",""
"chat.conversationAria","Conversation","Usapan","","",""
"chat.tryNext","Try asking next","Subukang itanong sunod","","",""
"chat.suggest1","What if the notice was late?","Paano kung huli ang abiso?","","",""
"chat.suggest2","How do I apply for SNAP?","Paano ako mag-apply para sa SNAP?","","",""
"chat.suggest3","Are there grants to fix my roof?","May mga grant ba para ayusin ang aking bubong?","","",""
"chat.placeholder","Type your question here…","I-type ang iyong tanong dito…","","",""
"chat.typeQuestion","Type your question","I-type ang iyong tanong","","",""
"chat.send","Send your question","Ipadala ang iyong tanong","","",""
"chat.askAria","Ask a question","Magtanong","","",""
"chat.answered","✓ Answered","✓ Nasagot","","",""
"chat.searching","Searching the law for you…","Hinahanap ang batas para sa iyo…","","",""
"chat.error","Something went wrong. Please try again.","May nangyaring mali. Pakisubukan muli.","","",""
"chat.errorTitle","Something went wrong.","May nangyaring mali.","","",""
"chat.sources","★ Sources","★ Mga Pinagkunan","","",""
"chat.moreOptions","More options","Higit pang opsyon","","",""
"chat.callNow","Call now","Tumawag ngayon","","",""
"chat.phone","Phone","Telepono","","",""
"chat.hours","Hours","Oras","","",""
"chat.website","Website","Website","","",""
"chat.helpful","Was this helpful?","Nakatulong ba ito?","","",""
"chat.yes","Yes","Oo","","",""
"chat.no","No","Hindi","","",""
"chat.feedbackThanks","Thanks for your feedback!","Salamat sa iyong puna!","","",""
"chat.copy","Copy","Kopyahin","","",""
"chat.copied","Copied!","Nakopya!","","",""
"chat.print","Print","I-print","","",""
"chat.speakQuestion","Speak your question","Sabihin ang iyong tanong","","",""
"chat.stopListening","Stop listening","Itigil ang pakikinig","","",""
"chat.refuseBody","This kind of case needs a lawyer who knows your full situation. I only cover housing, money, repairs, and benefits.","Ang ganitong kaso ay nangangailangan ng abogado na nakakaalam ng buong sitwasyon mo. Sumasaklaw lang ako sa pabahay, pera, pag-aayos, at benepisyo.","","",""
"footer.tagline","Free, plain-language legal information for Illinois residents. Built in Chicago with input from legal aid partners.","Libre at malinaw na legal na impormasyon para sa mga residente ng Illinois. Ginawa sa Chicago kasama ang mga legal aid na partner.","","",""
"footer.topics","Topics","Mga Paksa","","",""
"footer.help","Help","Tulong","","",""
"footer.about","About","Tungkol","","",""
"footer.housingRent","Housing & Rent","Pabahay at Upa","","",""
"footer.moneyDebt","Money & Debt","Pera at Utang","","",""
"footer.homeRepairs","Home Repairs","Pag-aayos ng Bahay","","",""
"footer.publicBenefits","Public Benefits","Pampublikong Benepisyo","","",""
"footer.askQuestion","Ask a question","Magtanong","","",""
"footer.findHelp","Find legal help","Maghanap ng legal na tulong","","",""
"footer.howToUse","How to use this site","Paano gamitin ang site na ito","","",""
"footer.whoWeAre","Who we are","Sino kami","","",""
"footer.ourPartners","Our partners","Aming mga partner","","",""
"footer.contact","Contact","Makipag-ugnayan","","",""
"footer.disclaimer","★ Rights Within Reach gives general legal information, not legal advice. ★ Built in Chicago at the University of Chicago Tech Showcase.","★ Ang Rights Within Reach ay nagbibigay ng pangkalahatang legal na impormasyon, hindi legal na payo. ★ Ginawa sa Chicago sa University of Chicago Tech Showcase.","","",""
"home.eyebrow.forIL","For Illinois residents","Para sa mga residente ng Illinois","","",""
"home.hero.title","Know your rights.","Alamin ang iyong mga karapatan.","","",""
"home.hero.sub","Free, plain-language information about housing, money, repairs, and benefits. In your language.","Libre at malinaw na impormasyon tungkol sa pabahay, pera, pag-aayos, at mga benepisyo. Sa iyong wika.","","",""
"home.hero.start","Start asking","Magsimulang magtanong","","",""
"home.hero.how","How it works","Paano ito gumagana","","",""
"home.sticker.free","100% Free","100% Libre","","",""
"home.sticker.cited","Cited from law","Mula sa batas","","",""
"home.sticker.langs","5 Languages","5 Wika","","",""
"home.about.eyebrow","What is Rights Within Reach?","Ano ang Rights Within Reach?","","",""
"home.about.title","A free tool that meets you where you are.","Isang libreng kasangkapan na tumutugon sa iyo kung nasaan ka.","","",""
"home.about.sub","When you are facing an eviction notice, a debt collector call, or a broken furnace, you do not have hours to search government websites. Rights Within Reach is a free chatbot that answers your legal questions in plain language and points you to the people who can help.","Kapag humaharap ka sa abiso ng pagpapaalis, tawag ng maniningil ng utang, o sirang heater, wala kang oras para maghanap sa mga website ng gobyerno. Ang Rights Within Reach ay isang libreng chatbot na sumasagot sa iyong mga legal na tanong sa simpleng wika at itinuturo ka sa mga taong makakatulong.","","",""
"home.about.p1.lead","We are not a lawyer.","Hindi kami abogado.","","",""
"home.about.p1.body","We are a tool that takes the law and translates it into plain language anyone can understand. Every answer cites the actual statute it comes from, and every answer ends with a referral to a real legal aid organization that can help with your specific case.","Kami ay isang kasangkapan na kumukuha ng batas at isinasalin ito sa simpleng wika na maiintindihan ng kahit sino. Bawat sagot ay sumisipi sa eksaktong batas na pinagmulan nito, at nagtatapos sa isang referral sa tunay na organisasyon ng tulong legal na makakatulong sa iyong kaso.","","",""
"home.about.p2.lead","We are built for Illinois.","Ginawa kami para sa Illinois.","","",""
"home.about.p2.body","Every answer is grounded in Illinois statutes, Chicago ordinances, federal benefits rules, and program guidelines. We cover housing and eviction, debt and utilities, home repair grants, and public benefits like SNAP and Medicaid.","Bawat sagot ay nakabatay sa mga batas ng Illinois, mga ordinansa ng Chicago, mga panuntunan ng pederal na benepisyo, at mga gabay ng programa. Saklaw namin ang pabahay at pagpapaalis, utang at mga utility, tulong sa pag-aayos ng bahay, at mga pampublikong benepisyo tulad ng SNAP at Medicaid.","","",""
"home.about.p3.lead","We are built for everyone.","Ginawa kami para sa lahat.","","",""
"home.about.p3.body","Our interface works on a low-end phone over slow internet. Every page reads aloud. You can switch to Spanish, Chinese, Tagalog, or Vietnamese any time. You can make the text bigger with one button. We collect no personal information.","Gumagana ang aming interface sa murang telepono at mabagal na internet. Bawat pahina ay maaaring basahin nang malakas. Maaari kang lumipat sa Espanyol, Intsik, Tagalog, o Vietnamese anumang oras. Maaari mong palakihin ang teksto sa isang pindot. Wala kaming kinokolektang personal na impormasyon.","","",""
"home.about.p4.lead","We were built with care.","Ginawa namin ito nang may malasakit.","","",""
"home.about.p4.body","Rights Within Reach was created at the University of Chicago Tech Showcase in partnership with Illinois Legal Aid Online, the Lawyers' Committee for Better Housing, and the Stanford Legal Design Lab.","Ang Rights Within Reach ay nilikha sa University of Chicago Tech Showcase kasama ang Illinois Legal Aid Online, ang Lawyers' Committee for Better Housing, at ang Stanford Legal Design Lab.","","",""
"home.fact.sources.label","Sources","Mga Pinagkunan","","",""
"home.fact.sources.value","Illinois statutes, Chicago ordinances, federal guidance, and program documentation","Mga batas ng Illinois, mga ordinansa ng Chicago, gabay pederal, at dokumentasyon ng programa","","",""
"home.fact.languages.label","Languages","Mga Wika","","",""
"home.fact.languages.value","English, Spanish, Chinese, Tagalog, and Vietnamese","Ingles, Espanyol, Intsik, Tagalog, at Vietnamese","","",""
"home.fact.categories.label","Categories","Mga Kategorya","","",""
"home.fact.categories.value","Housing, money and debt, home repairs, and public benefits","Pabahay, pera at utang, pag-aayos ng bahay, at mga pampublikong benepisyo","","",""
"home.fact.cost.label","Cost","Halaga","","",""
"home.fact.cost.value","Always free. No login. No personal information collected.","Laging libre. Walang pag-login. Walang kinokolektang personal na impormasyon.","","",""
"home.how.eyebrow","How the chatbot works","Paano gumagana ang chatbot","","",""
"home.how.title","Ask in your own words. Get a clear answer.","Magtanong sa sarili mong salita. Makakuha ng malinaw na sagot.","","",""
"home.how.sub","You do not need to know legal words. You do not need to know which law applies. You just need to ask. Here is what happens after you type your question.","Hindi mo kailangang malaman ang mga legal na salita. Hindi mo kailangang malaman kung aling batas ang naaangkop. Kailangan mo lang magtanong. Narito ang mangyayari pagkatapos mong i-type ang iyong tanong.","","",""
"home.how.s1.title","You ask","Magtanong ka","","",""
"home.how.s1.desc","Type your question in your own words. ""Can my landlord raise the rent?"" works. So does ""my furnace broke and I am cold.""","I-type ang iyong tanong sa sarili mong salita. ""Puwede bang itaas ng kasera ko ang upa?"" ay gumagana. Gayundin ang ""sumira ang heater ko at giniginaw ako.""","","",""
"home.how.s2.title","We find the law","Hahanapin namin ang batas","","",""
"home.how.s2.desc","We search the actual Illinois statutes, Chicago ordinances, or program rules that apply to your question.","Hinahanap namin ang mga aktwal na batas ng Illinois, mga ordinansa ng Chicago, o mga panuntunan ng programa na naaangkop sa iyong tanong.","","",""
"home.how.s3.title","You get a clear answer","Makakakuha ka ng malinaw na sagot","","",""
"home.how.s3.desc","We give you a plain-language answer with the exact law cited, so you can verify it yourself or show it to a lawyer.","Binibigyan ka namin ng malinaw na sagot na may eksaktong batas na sinipi, para mapatunayan mo ito mismo o maipakita sa abogado.","","",""
"home.how.s4.title","You find help","Makakahanap ka ng tulong","","",""
"home.how.s4.desc","Every answer ends with a real legal aid organization you can call for help with your specific situation.","Bawat sagot ay nagtatapos sa isang tunay na organisasyon ng tulong legal na maaari mong tawagan para sa iyong sitwasyon.","","",""
"home.walk.eyebrow","How to use this site","Paano gamitin ang site na ito","","",""
"home.walk.title","Five steps from question to help.","Limang hakbang mula tanong hanggang tulong.","","",""
"home.walk.sub","Whether you are facing an emergency or just curious about your rights, here is how to get the most from Rights Within Reach.","Maging humaharap ka man sa emerhensiya o gusto mo lang malaman ang iyong mga karapatan, narito kung paano masulit ang Rights Within Reach.","","",""
"home.walk.s1.lead","Pick a language.","Pumili ng wika.","","",""
"home.walk.s1.body","The bar at the top of every page lets you switch between English, Spanish, Chinese, Tagalog, and Vietnamese. The whole site changes, not just the menu.","Ang bar sa itaas ng bawat pahina ay nagbibigay-daan sa iyong lumipat sa Ingles, Espanyol, Intsik, Tagalog, at Vietnamese. Nagbabago ang buong site, hindi lang ang menu.","","",""
"home.walk.s2.lead","Pick a topic, or just start typing.","Pumili ng paksa, o magsimula lang mag-type.","","",""
"home.walk.s2.body","You can either pick one of the four topic cards on this page, or jump straight to the chatbot and ask anything.","Maaari kang pumili ng isa sa apat na topic card sa pahinang ito, o dumiretso sa chatbot at magtanong ng kahit ano.","","",""
"home.walk.s3.lead","Read the short answer.","Basahin ang maikling sagot.","","",""
"home.walk.s3.body","The chatbot gives you a clear answer with the actual law it comes from. Big numbers and key dates are pulled out so you can scan them quickly.","Nagbibigay ang chatbot ng malinaw na sagot na may aktwal na batas na pinagmulan nito. Ang malalaking numero at mahahalagang petsa ay hinihiwalay para mabilis mong matingnan.","","",""
"home.walk.s4.lead","Tap to read more.","I-tap para magbasa pa.","","",""
"home.walk.s4.body","Every answer links to a full topic page with deeper information, common questions, and the full list of programs or rules that apply.","Bawat sagot ay naka-link sa kumpletong pahina ng paksa na may mas malalim na impormasyon, karaniwang tanong, at kumpletong listahan ng mga programa o panuntunan na naaangkop.","","",""
"home.walk.s5.lead","Get connected to a real person.","Makakonekta sa tunay na tao.","","",""
"home.walk.s5.body","Every answer and every topic page ends with one or more legal aid organizations you can call for help. We tell you their phone number, their hours, and what to bring.","Bawat sagot at bawat pahina ng paksa ay nagtatapos sa isa o higit pang organisasyon ng tulong legal na maaari mong tawagan. Sinasabi namin ang kanilang numero ng telepono, oras, at kung ano ang dapat dalhin.","","",""
"home.topics.eyebrow","Choose a topic","Pumili ng paksa","","",""
"home.topics.title","What can we help with?","Saan kami makakatulong?","","",""
"home.topics.mostAsked","Most asked","Pinakamadalas itanong","","",""
"home.topics.new","New","Bago","","",""
"home.hero.svg1","""Can my","""Magagawa ba","","",""
"home.hero.svg2","landlord do","iyon ng","","",""
"home.hero.svg3","that?""","kasera ko?""","","",""
"home.topic.housing.aria","Housing and rent topic, most asked","Paksa ng pabahay at upa, pinakamadalas itanong","","",""
"home.topic.benefits.aria","Public benefits topic, new","Paksa ng pampublikong benepisyo, bago","","",""
"ticker.free","Free to use","Libreng gamitin","","",""
"ticker.plain","Plain language","Simpleng wika","","",""
"ticker.multilingual","Multilingual","Multilinggwal","","",""
"ticker.cited","Cited sources","May sipi na mga pinagkunan","","",""
"ticker.noLogin","No login needed","Walang login","","",""
"ticker.chicago","Built in Chicago","Ginawa sa Chicago","","",""
"ticker.play","Play the scrolling banner","I-play ang banner","","",""
"ticker.pause","Pause the scrolling banner","I-pause ang banner","","",""
"home.topics.readMore","Read more →","Magbasa pa →","","",""
"home.topic.housing.title","Housing & rent","Pabahay at upa","","",""
"home.topic.housing.desc","Eviction, deposits, repairs, leases, rent increases","Pagpapaalis, deposito, pag-aayos, lease, pagtaas ng upa","","",""
"home.topic.money.title","Money & debt","Pera at utang","","",""
"home.topic.money.desc","Wages, utilities, debt collectors, garnishment","Sahod, utility, maniningil ng utang, garnishment","","",""
"home.topic.repairs.title","Home repairs","Pag-aayos ng bahay","","",""
"home.topic.repairs.desc","Grants for roof, heating, plumbing, accessibility","Tulong para sa bubong, pampainit, tubo, accessibility","","",""
"home.topic.benefits.title","Public benefits","Pampublikong benepisyo","","",""
"home.topic.benefits.desc","SNAP, Medicaid, All Kids, energy assistance","SNAP, Medicaid, All Kids, tulong sa enerhiya","","",""
"home.partners.eyebrow","Built in partnership with","Ginawa kasama ang","","",""
"home.partners.title","Real legal aid organizations across Illinois.","Mga tunay na organisasyon ng tulong legal sa buong Illinois.","","",""
"home.partners.body","Every answer in Rights Within Reach has been shaped by feedback from practicing attorneys and content directors at organizations that serve Illinois residents every day. Their guidance keeps us honest about what we can and cannot do.","Bawat sagot sa Rights Within Reach ay hinubog ng feedback mula sa mga nagsasanay na abogado at content director sa mga organisasyong naglilingkod sa mga residente ng Illinois araw-araw. Ang kanilang gabay ang nagpapanatili sa aming tapat tungkol sa kung ano ang kaya at hindi namin kaya.","","",""
"topic.summaryEyebrow","Quick summary","Mabilis na buod","","",""
"topic.summaryTitle","What you need to know.","Ang kailangan mong malaman.","","",""
"topic.startHere","★ Start here","★ Magsimula dito","","",""
"topic.startHereBody","If you only have time to read one thing, read the FAQ below. Each answer cites the law it comes from.","Kung may oras ka lang magbasa ng isang bagay, basahin ang mga FAQ sa ibaba. Bawat sagot ay sumisipi sa batas na pinagmulan nito.","","",""
"topic.faqEyebrow","Common questions","Mga karaniwang tanong","","",""
"topic.faqTitle","The questions people ask most.","Ang mga tanong na pinakamadalas itanong.","","",""
"topic.source","Source:","Pinagkunan:","","",""
"topic.programsEyebrow","Programs & rules","Mga programa at panuntunan","","",""
"topic.programsTitle","What is available and how to apply.","Ano ang available at paano mag-apply.","","",""
"topic.actionEyebrow","How to use this information","Paano gamitin ang impormasyong ito","","",""
"topic.actionTitle","Step-by-step next actions.","Hakbang-hakbang na mga susunod na aksyon.","","",""
"topic.actionIntro","Reading the law is the first step. Here is what to do with what you just learned.","Ang pagbabasa ng batas ay ang unang hakbang. Narito ang gagawin sa natutunan mo.","","",""
"topic.helpEyebrow","Get help","Humingi ng tulong","","",""
"topic.helpTitle","Talk to a real person.","Makipag-usap sa tunay na tao.","","",""
"topic.helpIntro","If your situation is urgent, complicated, or you want someone to review your case, these organizations help Illinois residents for free.","Kung ang iyong sitwasyon ay madalian, kumplikado, o gusto mong may magsuri ng iyong kaso, libreng tumutulong ang mga organisasyong ito sa mga residente ng Illinois.","","",""
"topic.seeAll","See all resources →","Tingnan lahat ng mapagkukunan →","","",""
"topic.askAnother","Ask another question","Magtanong ng iba","","",""
"speak.listen","Listen","Pakinggan","","",""
"speak.stop","Stop","Itigil","","",""
"speak.readSection","Read this section aloud","Basahin nang malakas ang seksyong ito","","",""
"speak.stopSection","Stop reading","Itigil ang pagbasa","","",""
"speak.settings","Voice & speed","Boses at bilis","","",""
"speak.speed","Speed","Bilis","","",""
"speak.slow","Slow","Mabagal","","",""
"speak.normal","Normal","Normal","","",""
"speak.fast","Fast","Mabilis","","",""
"speak.voice","Voice","Boses","","",""
"speak.voiceAuto","Automatic","Awtomatiko","","",""
"speak.voiceForLang","Recommended for this language","Inirerekomenda para sa wikang ito","","",""
"speak.voiceAll","Other voices","Iba pang boses","","",""
"res.hero.eyebrow","Find help","Maghanap ng tulong","","",""
"res.hero.title","Real people who can help.","Mga tunay na taong makakatulong.","","",""
"res.hero.sub","Every organization on this page provides free or sliding-scale legal help to Illinois residents. Most have multilingual staff. None will charge you for a consultation.","Bawat organisasyon sa pahinang ito ay nagbibigay ng libre o sliding-scale na legal na tulong sa mga residente ng Illinois. Karamihan ay may multilinggwal na kawani. Walang maniningil sa iyo para sa konsultasyon.","","",""
"res.featured.eyebrow","If you need help now","Kung kailangan mo ng tulong ngayon","","",""
"res.featured.title","Start here, no matter what your problem is.","Magsimula dito, anuman ang iyong problema.","","",""
"res.featured.sub","If you are not sure who to call, start with these — they triage you to the right place.","Kung hindi ka sigurado kung sino ang tatawagan, magsimula sa mga ito — itinuturo ka nila sa tamang lugar.","","",""
"res.cat.housing.eyebrow","Housing & eviction","Pabahay at pagpapaalis","","",""
"res.cat.housing.title","Get help with rent, eviction, repairs, and deposits.","Tulong sa upa, pagpapaalis, pag-aayos, at deposito.","","",""
"res.cat.money.eyebrow","Money & debt","Pera at utang","","",""
"res.cat.money.title","Help with debt, garnishment, and utilities.","Tulong sa utang, garnishment, at mga utility.","","",""
"res.cat.repairs.eyebrow","Home repairs","Pag-aayos ng bahay","","",""
"res.cat.repairs.title","Apply for grants to fix your home.","Mag-apply para sa tulong sa pag-aayos ng iyong bahay.","","",""
"res.cat.benefits.eyebrow","Public benefits","Pampublikong benepisyo","","",""
"res.cat.benefits.title","Apply for, appeal, or restore your benefits.","Mag-apply, mag-apela, o ibalik ang iyong mga benepisyo.","","",""
"res.cat.court.eyebrow","Court & self-help","Korte at self-help","","",""
"res.cat.court.title","Going to court without a lawyer.","Pagpunta sa korte nang walang abogado.","","",""
"res.cat.safety.eyebrow","Safety & domestic violence","Kaligtasan at karahasan sa tahanan","","",""
"res.cat.safety.title","If you are not safe at home.","Kung hindi ka ligtas sa tahanan.","","",""
"res.cat.veterans.eyebrow","Veterans","Mga beterano","","",""
"res.cat.veterans.title","Help for veterans and their families.","Tulong para sa mga beterano at kanilang pamilya.","","",""
"res.cat.lgbtq.eyebrow","LGBTQ+","LGBTQ+","","",""
"res.cat.lgbtq.title","Affirming legal, housing, and health help.","Tulong sa legal, pabahay, at kalusugan na tumatanggap sa iyo.","","",""
"res.today.eyebrow","What to do right now","Ano ang gagawin ngayon","","",""
"res.today.title","Five things to do today.","Limang bagay na gagawin ngayon.","","",""
"res.today.sub","If you are facing a legal problem, doing these five things in the next 24 hours will protect your rights and make it easier to get help.","Kung humaharap ka sa legal na problema, ang paggawa ng limang bagay na ito sa susunod na 24 oras ay magpoprotekta sa iyong mga karapatan at magpapadali sa paghingi ng tulong.","","",""
"res.today.s1.lead","Take photos of everything.","Kunan ng litrato ang lahat.","","",""
"res.today.s1.body","Any letter, notice, condition, or damage that matters to your case. Photos are evidence.","Anumang sulat, abiso, kondisyon, o pinsala na mahalaga sa iyong kaso. Ang mga litrato ay ebidensya.","","",""
"res.today.s2.lead","Write down the dates.","Isulat ang mga petsa.","","",""
"res.today.s2.body","When did the problem start? When did you tell someone? When did they respond? Specific dates matter in court.","Kailan nagsimula ang problema? Kailan mo sinabi sa isang tao? Kailan sila tumugon? Mahalaga ang eksaktong petsa sa korte.","","",""
"res.today.s3.lead","Save every piece of paper.","Itago ang bawat papel.","","",""
"res.today.s3.body","Notices, bills, leases, letters, and texts. Put them in one folder you can grab quickly.","Mga abiso, bill, lease, sulat, at text. Ilagay ang mga ito sa isang folder na madali mong makukuha.","","",""
"res.today.s4.lead","Call one of the legal aid organizations on this page.","Tumawag sa isa sa mga organisasyon ng legal na tulong sa pahinang ito.","","",""
"res.today.s4.body","Do not wait for a court date. Call now, even if you think your case is too small. Most consultations are free.","Huwag maghintay ng petsa ng korte. Tumawag na ngayon, kahit isipin mong maliit ang iyong kaso. Karamihan ng konsultasyon ay libre.","","",""
"res.today.s5.lead","Do not sign anything you do not understand.","Huwag pumirma ng anumang hindi mo naiintindihan.","","",""
"res.today.s5.body","If your landlord, debt collector, or employer asks you to sign something, take a copy home first and ask a lawyer.","Kung pinapapirma ka ng iyong kasera, maniningil ng utang, o employer, kumuha muna ng kopya pauwi at magtanong sa abogado.","","",""
"res.today.calloutLabel","★ Important","★ Mahalaga","","",""
"res.today.calloutBody","If you are in immediate danger or your situation is urgent, do not wait. Call 911 for emergencies, or 311 for serious living conditions in Chicago. For an eviction filed against you, contact a legal aid organization within 24 hours.","Kung ikaw ay nasa agarang panganib o madalian ang iyong sitwasyon, huwag maghintay. Tumawag sa 911 para sa emerhensiya, o sa 311 para sa malubhang kondisyon ng pamumuhay sa Chicago. Para sa pagpapaalis na isinampa laban sa iyo, makipag-ugnayan sa organisasyon ng legal na tulong sa loob ng 24 oras.","","",""
"res.bring.eyebrow","What to bring","Ano ang dadalhin","","",""
"res.bring.title","Prepare for your first legal aid meeting.","Maghanda para sa iyong unang pagpupulong sa legal na tulong.","","",""
"res.bring.sub","Most consultations only last 30 minutes. Bring the right documents and you will get more out of the meeting.","Karamihan ng konsultasyon ay tumatagal lang ng 30 minuto. Magdala ng tamang mga dokumento at mas marami kang makukuha sa pagpupulong.","","",""
