"key","English (source)","Spanish","status (OK / FIX)","suggested correction","notes"
"home.partners.body","Every answer in Rights Within Reach has been shaped by feedback from practicing attorneys and content directors at organizations that serve Illinois residents every day. Their guidance keeps us honest about what we can and cannot do.","Cada respuesta en Rights Within Reach ha sido moldeada por los comentarios de abogados en ejercicio y directores de contenido de organizaciones que sirven a los residentes de Illinois todos los días. Su orientación nos mantiene honestos sobre lo que podemos y no podemos hacer.","","",""
"topic.summaryEyebrow","Quick summary","Resumen rápido","","",""
"topic.summaryTitle","What you need to know.","Lo que necesitas saber.","","",""
"topic.startHere","★ Start here","★ Empieza aquí","","",""
"topic.startHereBody","If you only have time to read one thing, read the FAQ below. Each answer cites the law it comes from.","Si solo tienes tiempo para leer una cosa, lee las preguntas frecuentes abajo. Cada respuesta cita la ley de la que proviene.","","",""
"topic.faqEyebrow","Common questions","Preguntas comunes","","",""
"topic.faqTitle","The questions people ask most.","Las preguntas que la gente hace más.","","",""
"topic.source","Source:","Fuente:","","",""
"topic.programsEyebrow","Programs & rules","Programas y reglas","","",""
"topic.programsTitle","What is available and how to apply.","Qué hay disponible y cómo solicitarlo.","","",""
"topic.actionEyebrow","How to use this information","Cómo usar esta información","","",""
"topic.actionTitle","Step-by-step next actions.","Próximos pasos, uno por uno.","","",""
"topic.actionIntro","Reading the law is the first step. Here is what to do with what you just learned.","Leer la ley es el primer paso. Esto es lo que puedes hacer con lo que acabas de aprender.","","",""
"topic.helpEyebrow","Get help","Busca ayuda","","",""
"topic.helpTitle","Talk to a real person.","Habla con una persona real.","","",""
"topic.helpIntro","If your situation is urgent, complicated, or you want someone to review your case, these organizations help Illinois residents for free.","Si tu situación es urgente, complicada o quieres que alguien revise tu caso, estas organizaciones ayudan gratis a los residentes de Illinois.","","",""
"topic.seeAll","See all resources →","Ver todos los recursos →","","",""
"topic.askAnother","Ask another question","Haz otra pregunta","","",""
"speak.listen","Listen","Escuchar","","",""
"speak.stop","Stop","Detener","","",""
"speak.readSection","Read this section aloud","Leer esta sección en voz alta","","",""
"speak.stopSection","Stop reading","Detener la lectura","","",""
"speak.settings","Voice & speed","Voz y velocidad","","",""
"speak.speed","Speed","Velocidad","","",""
"speak.slow","Slow","Lenta","","",""
"speak.normal","Normal","Normal","","",""
"speak.fast","Fast","Rápida","","",""
"speak.voice","Voice","Voz","","",""
"speak.voiceAuto","Automatic","Automática","","",""
"speak.voiceForLang","Recommended for this language","Recomendadas para este idioma","","",""
"speak.voiceAll","Other voices","Otras voces","","",""
"res.hero.eyebrow","Find help","Busca ayuda","","",""
"res.hero.title","Real people who can help.","Personas reales que pueden ayudar.","","",""
"res.hero.sub","Every organization on this page provides free or sliding-scale legal help to Illinois residents. Most have multilingual staff. None will charge you for a consultation.","Cada organización en esta página ofrece ayuda legal gratuita o de tarifa ajustable a los residentes de Illinois. La mayoría tiene personal multilingüe. Ninguna te cobrará por una consulta.","","",""
"res.featured.eyebrow","If you need help now","Si necesitas ayuda ahora","","",""
"res.featured.title","Start here, no matter what your problem is.","Empieza aquí, sin importar cuál sea tu problema.","","",""
"res.featured.sub","If you are not sure who to call, start with these — they triage you to the right place.","Si no estás seguro de a quién llamar, empieza con estas: te dirigen al lugar correcto.","","",""
"res.cat.housing.eyebrow","Housing & eviction","Vivienda y desalojo","","",""
"res.cat.housing.title","Get help with rent, eviction, repairs, and deposits.","Ayuda con renta, desalojo, reparaciones y depósitos.","","",""
"res.cat.money.eyebrow","Money & debt","Dinero y deudas","","",""
"res.cat.money.title","Help with debt, garnishment, and utilities.","Ayuda con deudas, embargo de salario y servicios públicos.","","",""
"res.cat.repairs.eyebrow","Home repairs","Reparaciones del hogar","","",""
"res.cat.repairs.title","Apply for grants to fix your home.","Solicita ayudas para arreglar tu casa.","","",""
"res.cat.benefits.eyebrow","Public benefits","Beneficios públicos","","",""
"res.cat.benefits.title","Apply for, appeal, or restore your benefits.","Solicita, apela o recupera tus beneficios.","","",""
"res.cat.court.eyebrow","Court & self-help","Corte y autoayuda","","",""
"res.cat.court.title","Going to court without a lawyer.","Ir a la corte sin un abogado.","","",""
"res.cat.safety.eyebrow","Safety & domestic violence","Seguridad y violencia doméstica","","",""
"res.cat.safety.title","If you are not safe at home.","Si no estás seguro en tu hogar.","","",""
"res.cat.veterans.eyebrow","Veterans","Veteranos","","",""
"res.cat.veterans.title","Help for veterans and their families.","Ayuda para veteranos y sus familias.","","",""
"res.cat.lgbtq.eyebrow","LGBTQ+","LGBTQ+","","",""
"res.cat.lgbtq.title","Affirming legal, housing, and health help.","Ayuda legal, de vivienda y de salud que te afirma.","","",""
"res.today.eyebrow","What to do right now","Qué hacer ahora mismo","","",""
"res.today.title","Five things to do today.","Cinco cosas que hacer hoy.","","",""
"res.today.sub","If you are facing a legal problem, doing these five things in the next 24 hours will protect your rights and make it easier to get help.","Si enfrentas un problema legal, hacer estas cinco cosas en las próximas 24 horas protegerá tus derechos y facilitará obtener ayuda.","","",""
"res.today.s1.lead","Take photos of everything.","Toma fotos de todo.","","",""
"res.today.s1.body","Any letter, notice, condition, or damage that matters to your case. Photos are evidence.","Cualquier carta, aviso, condición o daño que importe a tu caso. Las fotos son evidencia.","","",""
"res.today.s2.lead","Write down the dates.","Anota las fechas.","","",""
"res.today.s2.body","When did the problem start? When did you tell someone? When did they respond? Specific dates matter in court.","¿Cuándo empezó el problema? ¿Cuándo avisaste a alguien? ¿Cuándo respondieron? Las fechas exactas importan en la corte.","","",""
"res.today.s3.lead","Save every piece of paper.","Guarda cada papel.","","",""
"res.today.s3.body","Notices, bills, leases, letters, and texts. Put them in one folder you can grab quickly.","Avisos, facturas, contratos, cartas y mensajes. Ponlos en una sola carpeta que puedas tomar rápido.","","",""
"res.today.s4.lead","Call one of the legal aid organizations on this page.","Llama a una de las organizaciones de ayuda legal de esta página.","","",""
"res.today.s4.body","Do not wait for a court date. Call now, even if you think your case is too small. Most consultations are free.","No esperes a una fecha de corte. Llama ahora, aunque creas que tu caso es muy pequeño. La mayoría de las consultas son gratis.","","",""
"res.today.s5.lead","Do not sign anything you do not understand.","No firmes nada que no entiendas.","","",""
"res.today.s5.body","If your landlord, debt collector, or employer asks you to sign something, take a copy home first and ask a lawyer.","Si tu casero, un cobrador o tu empleador te pide firmar algo, llévate una copia a casa primero y consulta a un abogado.","","",""
"res.today.calloutLabel","★ Important","★ Importante","","",""
"res.today.calloutBody","If you are in immediate danger or your situation is urgent, do not wait. Call 911 for emergencies, or 311 for serious living conditions in Chicago. For an eviction filed against you, contact a legal aid organization within 24 hours.","Si estás en peligro inmediato o tu situación es urgente, no esperes. Llama al 911 para emergencias, o al 311 para condiciones de vivienda graves en Chicago. Si presentaron un desalojo en tu contra, comunícate con una organización de ayuda legal dentro de 24 horas.","","",""
"res.bring.eyebrow","What to bring","Qué llevar","","",""
"res.bring.title","Prepare for your first legal aid meeting.","Prepárate para tu primera reunión de ayuda legal.","","",""
"res.bring.sub","Most consultations only last 30 minutes. Bring the right documents and you will get more out of the meeting.","La mayoría de las consultas duran solo 30 minutos. Lleva los documentos correctos y aprovecharás más la reunión.","","",""
