"key","English (source)","Vietnamese","status (OK / FIX)","suggested correction","notes"
"chat.copied","Copied!","Đã sao chép!","","",""
"chat.print","Print","In","","",""
"chat.speakQuestion","Speak your question","Nói câu hỏi của bạn","","",""
"chat.stopListening","Stop listening","Dừng nghe","","",""
"chat.refuseBody","This kind of case needs a lawyer who knows your full situation. I only cover housing, money, repairs, and benefits.","Loại vụ việc này cần một luật sư hiểu rõ toàn bộ tình huống của bạn. Tôi chỉ hỗ trợ về nhà ở, tiền bạc, sửa chữa và phúc lợi.","","",""
"footer.tagline","Free, plain-language legal information for Illinois residents. Built in Chicago with input from legal aid partners.","Thông tin pháp lý miễn phí, dễ hiểu cho cư dân Illinois. Được xây dựng tại Chicago với sự đóng góp của các đối tác trợ giúp pháp lý.","","",""
"footer.topics","Topics","Chủ đề","","",""
"footer.help","Help","Trợ giúp","","",""
"footer.about","About","Giới thiệu","","",""
"footer.housingRent","Housing & Rent","Nhà ở & Tiền thuê","","",""
"footer.moneyDebt","Money & Debt","Tiền & Nợ","","",""
"footer.homeRepairs","Home Repairs","Sửa chữa nhà","","",""
"footer.publicBenefits","Public Benefits","Phúc lợi công","","",""
"footer.askQuestion","Ask a question","Đặt câu hỏi","","",""
"footer.findHelp","Find legal help","Tìm trợ giúp pháp lý","","",""
"footer.howToUse","How to use this site","Cách sử dụng trang này","","",""
"footer.whoWeAre","Who we are","Về chúng tôi","","",""
"footer.ourPartners","Our partners","Đối tác của chúng tôi","","",""
"footer.contact","Contact","Liên hệ","","",""
"footer.disclaimer","★ Rights Within Reach gives general legal information, not legal advice. ★ Built in Chicago at the University of Chicago Tech Showcase.","★ Rights Within Reach cung cấp thông tin pháp lý chung, không phải tư vấn pháp lý. ★ Được xây dựng tại Chicago ở University of Chicago Tech Showcase.","","",""
"home.eyebrow.forIL","For Illinois residents","Dành cho cư dân Illinois","","",""
"home.hero.title","Know your rights.","Hiểu rõ quyền của bạn.","","",""
"home.hero.sub","Free, plain-language information about housing, money, repairs, and benefits. In your language.","Thông tin miễn phí, dễ hiểu về nhà ở, tiền bạc, sửa chữa và phúc lợi. Bằng ngôn ngữ của bạn.","","",""
"home.hero.start","Start asking","Bắt đầu hỏi","","",""
"home.hero.how","How it works","Cách hoạt động","","",""
"home.sticker.free","100% Free","100% Miễn phí","","",""
"home.sticker.cited","Cited from law","Trích từ luật","","",""
"home.sticker.langs","5 Languages","5 ngôn ngữ","","",""
"home.about.eyebrow","What is Rights Within Reach?","Rights Within Reach là gì?","","",""
"home.about.title","A free tool that meets you where you are.","Một công cụ miễn phí đến với bạn ở nơi bạn đang ở.","","",""
"home.about.sub","When you are facing an eviction notice, a debt collector call, or a broken furnace, you do not have hours to search government websites. Rights Within Reach is a free chatbot that answers your legal questions in plain language and points you to the people who can help.","Khi bạn đối mặt với thông báo trục xuất, cuộc gọi đòi nợ, hay lò sưởi hỏng, bạn không có hàng giờ để tìm kiếm trên các trang web của chính phủ. Rights Within Reach là một chatbot miễn phí trả lời các câu hỏi pháp lý của bạn bằng ngôn ngữ dễ hiểu và chỉ cho bạn những người có thể giúp đỡ.","","",""
"home.about.p1.lead","We are not a lawyer.","Chúng tôi không phải là luật sư.","","",""
"home.about.p1.body","We are a tool that takes the law and translates it into plain language anyone can understand. Every answer cites the actual statute it comes from, and every answer ends with a referral to a real legal aid organization that can help with your specific case.","Chúng tôi là một công cụ lấy luật và diễn giải thành ngôn ngữ đơn giản mà ai cũng hiểu được. Mỗi câu trả lời đều trích dẫn điều luật cụ thể mà nó dựa vào, và kết thúc bằng việc giới thiệu một tổ chức trợ giúp pháp lý thực sự có thể giúp trường hợp của bạn.","","",""
"home.about.p2.lead","We are built for Illinois.","Chúng tôi được xây dựng cho Illinois.","","",""
"home.about.p2.body","Every answer is grounded in Illinois statutes, Chicago ordinances, federal benefits rules, and program guidelines. We cover housing and eviction, debt and utilities, home repair grants, and public benefits like SNAP and Medicaid.","Mỗi câu trả lời đều dựa trên luật Illinois, các quy định của Chicago, các quy tắc phúc lợi liên bang và hướng dẫn chương trình. Chúng tôi bao gồm nhà ở và trục xuất, nợ và tiện ích, trợ cấp sửa chữa nhà, và các phúc lợi công như SNAP và Medicaid.","","",""
"home.about.p3.lead","We are built for everyone.","Chúng tôi được xây dựng cho tất cả mọi người.","","",""
"home.about.p3.body","Our interface works on a low-end phone over slow internet. Every page reads aloud. You can switch to Spanish, Chinese, Tagalog, or Vietnamese any time. You can make the text bigger with one button. We collect no personal information.","Giao diện của chúng tôi hoạt động trên điện thoại giá rẻ với internet chậm. Mỗi trang đều có thể đọc to. Bạn có thể chuyển sang tiếng Tây Ban Nha, tiếng Trung, tiếng Tagalog hoặc tiếng Việt bất cứ lúc nào. Bạn có thể phóng to chữ chỉ với một nút. Chúng tôi không thu thập bất kỳ thông tin cá nhân nào.","","",""
"home.about.p4.lead","We were built with care.","Chúng tôi được tạo ra với sự tận tâm.","","",""
"home.about.p4.body","Rights Within Reach was created at the University of Chicago Tech Showcase in partnership with Illinois Legal Aid Online, the Lawyers' Committee for Better Housing, and the Stanford Legal Design Lab.","Rights Within Reach được tạo ra tại University of Chicago Tech Showcase, hợp tác với Illinois Legal Aid Online, Lawyers' Committee for Better Housing, và Stanford Legal Design Lab.","","",""
"home.fact.sources.label","Sources","Nguồn","","",""
"home.fact.sources.value","Illinois statutes, Chicago ordinances, federal guidance, and program documentation","Luật Illinois, quy định Chicago, hướng dẫn liên bang và tài liệu chương trình","","",""
"home.fact.languages.label","Languages","Ngôn ngữ","","",""
"home.fact.languages.value","English, Spanish, Chinese, Tagalog, and Vietnamese","Tiếng Anh, Tây Ban Nha, Trung, Tagalog và Việt","","",""
"home.fact.categories.label","Categories","Danh mục","","",""
"home.fact.categories.value","Housing, money and debt, home repairs, and public benefits","Nhà ở, tiền bạc và nợ, sửa chữa nhà, và phúc lợi công","","",""
"home.fact.cost.label","Cost","Chi phí","","",""
"home.fact.cost.value","Always free. No login. No personal information collected.","Luôn miễn phí. Không cần đăng nhập. Không thu thập thông tin cá nhân.","","",""
"home.how.eyebrow","How the chatbot works","Chatbot hoạt động thế nào","","",""
"home.how.title","Ask in your own words. Get a clear answer.","Hỏi bằng lời của bạn. Nhận câu trả lời rõ ràng.","","",""
"home.how.sub","You do not need to know legal words. You do not need to know which law applies. You just need to ask. Here is what happens after you type your question.","Bạn không cần biết thuật ngữ pháp lý. Bạn không cần biết luật nào áp dụng. Bạn chỉ cần hỏi. Đây là điều xảy ra sau khi bạn nhập câu hỏi.","","",""
"home.how.s1.title","You ask","Bạn hỏi","","",""
"home.how.s1.desc","Type your question in your own words. ""Can my landlord raise the rent?"" works. So does ""my furnace broke and I am cold.""","Nhập câu hỏi bằng lời của bạn. ""Chủ nhà của tôi có thể tăng tiền thuê không?"" được. ""Lò sưởi của tôi hỏng và tôi đang lạnh."" cũng được.","","",""
"home.how.s2.title","We find the law","Chúng tôi tìm luật","","",""
"home.how.s2.desc","We search the actual Illinois statutes, Chicago ordinances, or program rules that apply to your question.","Chúng tôi tìm kiếm các luật Illinois, quy định Chicago, hoặc quy tắc chương trình áp dụng cho câu hỏi của bạn.","","",""
"home.how.s3.title","You get a clear answer","Bạn nhận câu trả lời rõ ràng","","",""
"home.how.s3.desc","We give you a plain-language answer with the exact law cited, so you can verify it yourself or show it to a lawyer.","Chúng tôi đưa cho bạn câu trả lời dễ hiểu với điều luật chính xác được trích dẫn, để bạn tự kiểm chứng hoặc đưa cho luật sư.","","",""
"home.how.s4.title","You find help","Bạn tìm được trợ giúp","","",""
"home.how.s4.desc","Every answer ends with a real legal aid organization you can call for help with your specific situation.","Mỗi câu trả lời kết thúc bằng một tổ chức trợ giúp pháp lý thực sự mà bạn có thể gọi cho tình huống của mình.","","",""
"home.walk.eyebrow","How to use this site","Cách sử dụng trang này","","",""
"home.walk.title","Five steps from question to help.","Năm bước từ câu hỏi đến trợ giúp.","","",""
"home.walk.sub","Whether you are facing an emergency or just curious about your rights, here is how to get the most from Rights Within Reach.","Dù bạn đang gặp tình huống khẩn cấp hay chỉ tò mò về quyền của mình, đây là cách tận dụng tối đa Rights Within Reach.","","",""
"home.walk.s1.lead","Pick a language.","Chọn một ngôn ngữ.","","",""
"home.walk.s1.body","The bar at the top of every page lets you switch between English, Spanish, Chinese, Tagalog, and Vietnamese. The whole site changes, not just the menu.","Thanh ở đầu mỗi trang cho phép bạn chuyển giữa tiếng Anh, Tây Ban Nha, Trung, Tagalog và Việt. Toàn bộ trang web thay đổi, không chỉ menu.","","",""
"home.walk.s2.lead","Pick a topic, or just start typing.","Chọn một chủ đề, hoặc cứ bắt đầu gõ.","","",""
"home.walk.s2.body","You can either pick one of the four topic cards on this page, or jump straight to the chatbot and ask anything.","Bạn có thể chọn một trong bốn thẻ chủ đề trên trang này, hoặc vào thẳng chatbot và hỏi bất cứ điều gì.","","",""
"home.walk.s3.lead","Read the short answer.","Đọc câu trả lời ngắn.","","",""
"home.walk.s3.body","The chatbot gives you a clear answer with the actual law it comes from. Big numbers and key dates are pulled out so you can scan them quickly.","Chatbot đưa cho bạn câu trả lời rõ ràng với điều luật thực sự mà nó dựa vào. Các con số lớn và ngày quan trọng được tách ra để bạn xem nhanh.","","",""
"home.walk.s4.lead","Tap to read more.","Chạm để đọc thêm.","","",""
"home.walk.s4.body","Every answer links to a full topic page with deeper information, common questions, and the full list of programs or rules that apply.","Mỗi câu trả lời liên kết đến một trang chủ đề đầy đủ với thông tin sâu hơn, các câu hỏi thường gặp, và danh sách đầy đủ các chương trình hoặc quy tắc áp dụng.","","",""
"home.walk.s5.lead","Get connected to a real person.","Kết nối với một người thật.","","",""
"home.walk.s5.body","Every answer and every topic page ends with one or more legal aid organizations you can call for help. We tell you their phone number, their hours, and what to bring.","Mỗi câu trả lời và mỗi trang chủ đề kết thúc bằng một hoặc nhiều tổ chức trợ giúp pháp lý mà bạn có thể gọi. Chúng tôi cho bạn biết số điện thoại, giờ làm việc và cần mang theo gì.","","",""
"home.topics.eyebrow","Choose a topic","Chọn một chủ đề","","",""
"home.topics.title","What can we help with?","Chúng tôi có thể giúp gì?","","",""
"home.topics.mostAsked","Most asked","Được hỏi nhiều nhất","","",""
"home.topics.new","New","Mới","","",""
"home.hero.svg1","""Can my","""Chủ nhà tôi","","",""
"home.hero.svg2","landlord do","có được làm","","",""
"home.hero.svg3","that?""","vậy không?""","","",""
"home.topic.housing.aria","Housing and rent topic, most asked","Chủ đề nhà ở và tiền thuê, được hỏi nhiều nhất","","",""
"home.topic.benefits.aria","Public benefits topic, new","Chủ đề phúc lợi công, mới","","",""
"ticker.free","Free to use","Miễn phí sử dụng","","",""
"ticker.plain","Plain language","Ngôn ngữ đơn giản","","",""
"ticker.multilingual","Multilingual","Đa ngôn ngữ","","",""
"ticker.cited","Cited sources","Nguồn được trích dẫn","","",""
"ticker.noLogin","No login needed","Không cần đăng nhập","","",""
"ticker.chicago","Built in Chicago","Được tạo tại Chicago","","",""
"ticker.play","Play the scrolling banner","Phát biểu ngữ cuộn","","",""
"ticker.pause","Pause the scrolling banner","Tạm dừng biểu ngữ cuộn","","",""
"home.topics.readMore","Read more →","Đọc thêm →","","",""
"home.topic.housing.title","Housing & rent","Nhà ở & tiền thuê","","",""
"home.topic.housing.desc","Eviction, deposits, repairs, leases, rent increases","Trục xuất, tiền đặt cọc, sửa chữa, hợp đồng thuê, tăng tiền thuê","","",""
"home.topic.money.title","Money & debt","Tiền & nợ","","",""
"home.topic.money.desc","Wages, utilities, debt collectors, garnishment","Tiền lương, tiện ích, người đòi nợ, khấu trừ lương","","",""
"home.topic.repairs.title","Home repairs","Sửa chữa nhà","","",""
"home.topic.repairs.desc","Grants for roof, heating, plumbing, accessibility","Trợ cấp mái nhà, sưởi ấm, ống nước, tiếp cận","","",""
"home.topic.benefits.title","Public benefits","Phúc lợi công","","",""
"home.topic.benefits.desc","SNAP, Medicaid, All Kids, energy assistance","SNAP, Medicaid, All Kids, hỗ trợ năng lượng","","",""
"home.partners.eyebrow","Built in partnership with","Được xây dựng cùng với","","",""
"home.partners.title","Real legal aid organizations across Illinois.","Các tổ chức trợ giúp pháp lý thực sự trên khắp Illinois.","","",""
"home.partners.body","Every answer in Rights Within Reach has been shaped by feedback from practicing attorneys and content directors at organizations that serve Illinois residents every day. Their guidance keeps us honest about what we can and cannot do.","Mỗi câu trả lời trong Rights Within Reach đều được định hình bởi phản hồi từ các luật sư đang hành nghề và giám đốc nội dung tại các tổ chức phục vụ cư dân Illinois mỗi ngày. Sự hướng dẫn của họ giúp chúng tôi trung thực về những gì chúng tôi có thể và không thể làm.","","",""
"topic.summaryEyebrow","Quick summary","Tóm tắt nhanh","","",""
"topic.summaryTitle","What you need to know.","Những điều bạn cần biết.","","",""
"topic.startHere","★ Start here","★ Bắt đầu ở đây","","",""
"topic.startHereBody","If you only have time to read one thing, read the FAQ below. Each answer cites the law it comes from.","Nếu bạn chỉ có thời gian đọc một thứ, hãy đọc phần Hỏi-Đáp bên dưới. Mỗi câu trả lời đều trích dẫn luật mà nó dựa vào.","","",""
"topic.faqEyebrow","Common questions","Câu hỏi thường gặp","","",""
"topic.faqTitle","The questions people ask most.","Những câu hỏi mọi người hỏi nhiều nhất.","","",""
"topic.source","Source:","Nguồn:","","",""
"topic.programsEyebrow","Programs & rules","Chương trình & quy tắc","","",""
"topic.programsTitle","What is available and how to apply.","Có những gì và cách đăng ký.","","",""
"topic.actionEyebrow","How to use this information","Cách sử dụng thông tin này","","",""
"topic.actionTitle","Step-by-step next actions.","Các bước hành động tiếp theo.","","",""
"topic.actionIntro","Reading the law is the first step. Here is what to do with what you just learned.","Đọc luật là bước đầu tiên. Đây là việc cần làm với những gì bạn vừa học.","","",""
"topic.helpEyebrow","Get help","Nhận trợ giúp","","",""
"topic.helpTitle","Talk to a real person.","Nói chuyện với một người thật.","","",""
"topic.helpIntro","If your situation is urgent, complicated, or you want someone to review your case, these organizations help Illinois residents for free.","Nếu tình huống của bạn khẩn cấp, phức tạp, hoặc bạn muốn ai đó xem xét trường hợp của mình, các tổ chức này giúp đỡ cư dân Illinois miễn phí.","","",""
"topic.seeAll","See all resources →","Xem tất cả tài nguyên →","","",""
"topic.askAnother","Ask another question","Hỏi câu khác","","",""
"speak.listen","Listen","Nghe","","",""
"speak.stop","Stop","Dừng","","",""
"speak.readSection","Read this section aloud","Đọc to phần này","","",""
"speak.stopSection","Stop reading","Dừng đọc","","",""
"speak.settings","Voice & speed","Giọng & tốc độ","","",""
"speak.speed","Speed","Tốc độ","","",""
"speak.slow","Slow","Chậm","","",""
"speak.normal","Normal","Bình thường","","",""
"speak.fast","Fast","Nhanh","","",""
"speak.voice","Voice","Giọng","","",""
"speak.voiceAuto","Automatic","Tự động","","",""
"speak.voiceForLang","Recommended for this language","Được đề xuất cho ngôn ngữ này","","",""
"speak.voiceAll","Other voices","Giọng khác","","",""
"res.hero.eyebrow","Find help","Tìm trợ giúp","","",""
"res.hero.title","Real people who can help.","Những người thật có thể giúp bạn.","","",""
"res.hero.sub","Every organization on this page provides free or sliding-scale legal help to Illinois residents. Most have multilingual staff. None will charge you for a consultation.","Mọi tổ chức trên trang này đều cung cấp trợ giúp pháp lý miễn phí hoặc theo thu nhập cho cư dân Illinois. Hầu hết có nhân viên đa ngôn ngữ. Không ai tính phí tư vấn.","","",""
"res.featured.eyebrow","If you need help now","Nếu bạn cần trợ giúp ngay","","",""
"res.featured.title","Start here, no matter what your problem is.","Bắt đầu ở đây, dù vấn đề của bạn là gì.","","",""
"res.featured.sub","If you are not sure who to call, start with these — they triage you to the right place.","Nếu bạn không chắc nên gọi ai, hãy bắt đầu với những nơi này — họ sẽ hướng bạn đến đúng chỗ.","","",""
"res.cat.housing.eyebrow","Housing & eviction","Nhà ở và trục xuất","","",""
"res.cat.housing.title","Get help with rent, eviction, repairs, and deposits.","Trợ giúp về tiền thuê, trục xuất, sửa chữa và tiền đặt cọc.","","",""
"res.cat.money.eyebrow","Money & debt","Tiền và nợ","","",""
"res.cat.money.title","Help with debt, garnishment, and utilities.","Trợ giúp về nợ, khấu trừ lương và tiện ích.","","",""
"res.cat.repairs.eyebrow","Home repairs","Sửa chữa nhà","","",""
"res.cat.repairs.title","Apply for grants to fix your home.","Xin trợ cấp để sửa chữa nhà của bạn.","","",""
"res.cat.benefits.eyebrow","Public benefits","Phúc lợi công","","",""
"res.cat.benefits.title","Apply for, appeal, or restore your benefits.","Nộp đơn, kháng cáo hoặc khôi phục phúc lợi của bạn.","","",""
"res.cat.court.eyebrow","Court & self-help","Tòa án và tự trợ giúp","","",""
"res.cat.court.title","Going to court without a lawyer.","Ra tòa mà không có luật sư.","","",""
"res.cat.safety.eyebrow","Safety & domestic violence","An toàn và bạo lực gia đình","","",""
"res.cat.safety.title","If you are not safe at home.","Nếu bạn không an toàn ở nhà.","","",""
"res.cat.veterans.eyebrow","Veterans","Cựu chiến binh","","",""
"res.cat.veterans.title","Help for veterans and their families.","Trợ giúp cho cựu chiến binh và gia đình họ.","","",""
"res.cat.lgbtq.eyebrow","LGBTQ+","LGBTQ+","","",""
"res.cat.lgbtq.title","Affirming legal, housing, and health help.","Trợ giúp pháp lý, nhà ở và sức khỏe tôn trọng bạn.","","",""
"res.today.eyebrow","What to do right now","Việc cần làm ngay bây giờ","","",""
"res.today.title","Five things to do today.","Năm việc cần làm hôm nay.","","",""
"res.today.sub","If you are facing a legal problem, doing these five things in the next 24 hours will protect your rights and make it easier to get help.","Nếu bạn đang gặp vấn đề pháp lý, làm năm việc này trong 24 giờ tới sẽ bảo vệ quyền của bạn và giúp việc nhận trợ giúp dễ dàng hơn.","","",""
"res.today.s1.lead","Take photos of everything.","Chụp ảnh mọi thứ.","","",""
"res.today.s1.body","Any letter, notice, condition, or damage that matters to your case. Photos are evidence.","Bất kỳ lá thư, thông báo, tình trạng hoặc hư hỏng nào quan trọng cho trường hợp của bạn. Ảnh là bằng chứng.","","",""
"res.today.s2.lead","Write down the dates.","Ghi lại các ngày.","","",""
"res.today.s2.body","When did the problem start? When did you tell someone? When did they respond? Specific dates matter in court.","Vấn đề bắt đầu khi nào? Bạn báo cho ai đó khi nào? Họ phản hồi khi nào? Ngày chính xác rất quan trọng tại tòa.","","",""
"res.today.s3.lead","Save every piece of paper.","Giữ mọi tờ giấy.","","",""
"res.today.s3.body","Notices, bills, leases, letters, and texts. Put them in one folder you can grab quickly.","Thông báo, hóa đơn, hợp đồng thuê, thư và tin nhắn. Để chúng trong một thư mục bạn có thể lấy nhanh.","","",""
"res.today.s4.lead","Call one of the legal aid organizations on this page.","Gọi cho một trong các tổ chức trợ giúp pháp lý trên trang này.","","",""
"res.today.s4.body","Do not wait for a court date. Call now, even if you think your case is too small. Most consultations are free.","Đừng chờ đến ngày ra tòa. Hãy gọi ngay, ngay cả khi bạn nghĩ trường hợp của mình quá nhỏ. Hầu hết các buổi tư vấn đều miễn phí.","","",""
"res.today.s5.lead","Do not sign anything you do not understand.","Đừng ký bất cứ điều gì bạn không hiểu.","","",""
"res.today.s5.body","If your landlord, debt collector, or employer asks you to sign something, take a copy home first and ask a lawyer.","Nếu chủ nhà, người đòi nợ hoặc chủ lao động của bạn yêu cầu ký gì đó, hãy mang một bản sao về nhà trước và hỏi luật sư.","","",""
"res.today.calloutLabel","★ Important","★ Quan trọng","","",""
"res.today.calloutBody","If you are in immediate danger or your situation is urgent, do not wait. Call 911 for emergencies, or 311 for serious living conditions in Chicago. For an eviction filed against you, contact a legal aid organization within 24 hours.","Nếu bạn đang gặp nguy hiểm tức thì hoặc tình huống khẩn cấp, đừng chờ đợi. Gọi 911 cho trường hợp khẩn cấp, hoặc 311 cho điều kiện sống nghiêm trọng ở Chicago. Đối với đơn trục xuất nộp chống lại bạn, hãy liên hệ tổ chức trợ giúp pháp lý trong vòng 24 giờ.","","",""
"res.bring.eyebrow","What to bring","Cần mang theo gì","","",""
"res.bring.title","Prepare for your first legal aid meeting.","Chuẩn bị cho buổi gặp trợ giúp pháp lý đầu tiên của bạn.","","",""
"res.bring.sub","Most consultations only last 30 minutes. Bring the right documents and you will get more out of the meeting.","Hầu hết các buổi tư vấn chỉ kéo dài 30 phút. Mang đúng giấy tờ và bạn sẽ nhận được nhiều hơn từ buổi gặp.","","",""
