"key","English (source)","Chinese","status (OK / FIX)","suggested correction","notes"
"chat.whoToContact","Who to contact & how","联系谁及如何联系","","",""
"chat.welcome","Ask about housing, money, home repairs, or public benefits. Every answer cites the law and points you to real help — in your language.","咨询有关住房、金钱、房屋维修或公共福利的问题。每个回答都引用法律，并为您指引真正的帮助——用您的语言。","","",""
"chat.suggestAria","Suggested follow-up questions","建议的后续问题","","",""
"chat.refuseAria","Out of scope — who to call instead","超出范围——应联系谁","","",""
"triage.aria","Guided questions","引导式问题","","",""
"chat.confidence","Confidence","可信度","","",""
"chat.confidenceHelp","How well our sources support this answer","我们的资料对此答案的支持程度","","",""
"chat.conf.high","High","高","","",""
"chat.conf.medium","Medium — double-check to be sure","中——请再次核实","","",""
"chat.conf.low","Low — please verify with an organization","低——请向机构核实","","",""
"chat.webSource","Web","网络","","",""
"chat.webChecked","Checked on the web","已在网上核实","","",""
"speak.noVoice","No voice for this language is installed on your device, so it will be read in a default voice.","您的设备未安装此语言的语音，将使用默认语音朗读。","","",""
"triage.area.prompt","Where do you live? This helps us point you to the right local help.","您住在哪里？这有助于我们为您指引正确的当地帮助。","","",""
"triage.area.chicago","Chicago","芝加哥","","",""
"triage.area.suburbanCook","Suburban Cook County","库克县郊区","","",""
"triage.area.collar","Collar county (DuPage, Lake, Will…)","邻县（DuPage、Lake、Will…）","","",""
"triage.area.elsewhere","Elsewhere in Illinois","伊利诺伊州其他地方","","",""
"triage.zip.prompt","What is your ZIP code? (optional)","您的邮政编码是？（可选）","","",""
"triage.zip.placeholder","e.g. 60601","例如 60601","","",""
"triage.zip.next","Next","下一步","","",""
"triage.subject.prompt","What is this about?","这是关于什么的？","","",""
"triage.skip","Skip these and just ask →","跳过，直接提问 →","","",""
"triage.edit","Change","更改","","",""
"triage.summary","Helping you in","为您服务的地区","","",""
"chat.live","Live conversation","实时对话","","",""
"chat.question","question so far","个问题","","",""
"chat.questions","questions so far","个问题","","",""
"chat.allCite","All answers cite the law","所有回答都引用法律","","",""
"chat.conversationAria","Conversation","对话","","",""
"chat.tryNext","Try asking next","接下来可以问","","",""
"chat.suggest1","What if the notice was late?","如果通知迟了怎么办？","","",""
"chat.suggest2","How do I apply for SNAP?","我如何申请 SNAP（食品援助）？","","",""
"chat.suggest3","Are there grants to fix my roof?","有修屋顶的补助金吗？","","",""
"chat.placeholder","Type your question here…","在这里输入您的问题…","","",""
"chat.typeQuestion","Type your question","输入您的问题","","",""
"chat.send","Send your question","发送您的问题","","",""
"chat.askAria","Ask a question","提问","","",""
"chat.answered","✓ Answered","✓ 已回答","","",""
"chat.searching","Searching the law for you…","正在为您查找法律…","","",""
"chat.error","Something went wrong. Please try again.","出了点问题。请重试。","","",""
"chat.errorTitle","Something went wrong.","出了点问题。","","",""
"chat.sources","★ Sources","★ 来源","","",""
"chat.moreOptions","More options","更多选项","","",""
"chat.callNow","Call now","立即致电","","",""
"chat.phone","Phone","电话","","",""
"chat.hours","Hours","工作时间","","",""
"chat.website","Website","网站","","",""
"chat.helpful","Was this helpful?","这有帮助吗？","","",""
"chat.yes","Yes","有","","",""
"chat.no","No","没有","","",""
"chat.feedbackThanks","Thanks for your feedback!","感谢您的反馈！","","",""
"chat.copy","Copy","复制","","",""
"chat.copied","Copied!","已复制！","","",""
"chat.print","Print","打印","","",""
"chat.speakQuestion","Speak your question","说出你的问题","","",""
"chat.stopListening","Stop listening","停止聆听","","",""
"chat.refuseBody","This kind of case needs a lawyer who knows your full situation. I only cover housing, money, repairs, and benefits.","这类案件需要了解您全部情况的律师。我只涵盖住房、金钱、维修和福利。","","",""
"footer.tagline","Free, plain-language legal information for Illinois residents. Built in Chicago with input from legal aid partners.","为伊利诺伊州居民提供免费、通俗易懂的法律信息。在芝加哥与法律援助伙伴合作打造。","","",""
"footer.topics","Topics","主题","","",""
"footer.help","Help","帮助","","",""
"footer.about","About","关于","","",""
"footer.housingRent","Housing & Rent","住房与租金","","",""
"footer.moneyDebt","Money & Debt","金钱与债务","","",""
"footer.homeRepairs","Home Repairs","房屋维修","","",""
"footer.publicBenefits","Public Benefits","公共福利","","",""
"footer.askQuestion","Ask a question","提问","","",""
"footer.findHelp","Find legal help","寻找法律帮助","","",""
"footer.howToUse","How to use this site","如何使用本网站","","",""
"footer.whoWeAre","Who we are","关于我们","","",""
"footer.ourPartners","Our partners","我们的伙伴","","",""
"footer.contact","Contact","联系我们","","",""
"footer.disclaimer","★ Rights Within Reach gives general legal information, not legal advice. ★ Built in Chicago at the University of Chicago Tech Showcase.","★ Rights Within Reach 提供一般法律信息，而非法律建议。★ 在芝加哥大学技术展打造。","","",""
"home.eyebrow.forIL","For Illinois residents","致伊利诺伊州居民","","",""
"home.hero.title","Know your rights.","了解您的权利。","","",""
"home.hero.sub","Free, plain-language information about housing, money, repairs, and benefits. In your language.","关于住房、金钱、维修和福利的免费、通俗易懂的信息。用您的语言。","","",""
"home.hero.start","Start asking","开始提问","","",""
"home.hero.how","How it works","工作原理","","",""
"home.sticker.free","100% Free","100% 免费","","",""
"home.sticker.cited","Cited from law","引用自法律","","",""
"home.sticker.langs","5 Languages","5 种语言","","",""
"home.about.eyebrow","What is Rights Within Reach?","什么是 Rights Within Reach？","","",""
"home.about.title","A free tool that meets you where you are.","一个在您所在之处帮助您的免费工具。","","",""
"home.about.sub","When you are facing an eviction notice, a debt collector call, or a broken furnace, you do not have hours to search government websites. Rights Within Reach is a free chatbot that answers your legal questions in plain language and points you to the people who can help.","当您面对驱逐通知、催债电话或暖气损坏时，您没有几个小时去搜索政府网站。Rights Within Reach 是一个免费的聊天机器人，用通俗的语言回答您的法律问题，并为您指引能够帮助您的人。","","",""
"home.about.p1.lead","We are not a lawyer.","我们不是律师。","","",""
"home.about.p1.body","We are a tool that takes the law and translates it into plain language anyone can understand. Every answer cites the actual statute it comes from, and every answer ends with a referral to a real legal aid organization that can help with your specific case.","我们是一个把法律翻译成人人都能理解的通俗语言的工具。每个回答都引用其来源的具体法律，并以转介到能帮助您具体案件的真实法律援助机构作为结尾。","","",""
"home.about.p2.lead","We are built for Illinois.","我们专为伊利诺伊州打造。","","",""
"home.about.p2.body","Every answer is grounded in Illinois statutes, Chicago ordinances, federal benefits rules, and program guidelines. We cover housing and eviction, debt and utilities, home repair grants, and public benefits like SNAP and Medicaid.","每个回答都以伊利诺伊州法律、芝加哥条例、联邦福利规则和项目指南为依据。我们涵盖住房与驱逐、债务与公用事业、房屋维修补助，以及 SNAP 和 Medicaid 等公共福利。","","",""
"home.about.p3.lead","We are built for everyone.","我们为每个人打造。","","",""
"home.about.p3.body","Our interface works on a low-end phone over slow internet. Every page reads aloud. You can switch to Spanish, Chinese, Tagalog, or Vietnamese any time. You can make the text bigger with one button. We collect no personal information.","我们的界面可以在低端手机和慢速网络上使用。每个页面都可以朗读。您可以随时切换到西班牙语、中文、他加禄语或越南语。您可以用一个按钮放大文字。我们不收集任何个人信息。","","",""
"home.about.p4.lead","We were built with care.","我们用心打造。","","",""
"home.about.p4.body","Rights Within Reach was created at the University of Chicago Tech Showcase in partnership with Illinois Legal Aid Online, the Lawyers' Committee for Better Housing, and the Stanford Legal Design Lab.","Rights Within Reach 在芝加哥大学 Tech Showcase 创建，合作伙伴包括 Illinois Legal Aid Online、Lawyers' Committee for Better Housing 和 Stanford Legal Design Lab。","","",""
"home.fact.sources.label","Sources","来源","","",""
"home.fact.sources.value","Illinois statutes, Chicago ordinances, federal guidance, and program documentation","伊利诺伊州法律、芝加哥条例、联邦指南和项目文件","","",""
"home.fact.languages.label","Languages","语言","","",""
"home.fact.languages.value","English, Spanish, Chinese, Tagalog, and Vietnamese","英语、西班牙语、中文、他加禄语和越南语","","",""
"home.fact.categories.label","Categories","类别","","",""
"home.fact.categories.value","Housing, money and debt, home repairs, and public benefits","住房、金钱与债务、房屋维修和公共福利","","",""
"home.fact.cost.label","Cost","费用","","",""
"home.fact.cost.value","Always free. No login. No personal information collected.","始终免费。无需登录。不收集个人信息。","","",""
"home.how.eyebrow","How the chatbot works","聊天机器人如何工作","","",""
"home.how.title","Ask in your own words. Get a clear answer.","用您自己的话提问。获得清晰的回答。","","",""
"home.how.sub","You do not need to know legal words. You do not need to know which law applies. You just need to ask. Here is what happens after you type your question.","您不需要懂法律术语。您不需要知道适用哪条法律。您只需提问。以下是您输入问题后发生的事情。","","",""
"home.how.s1.title","You ask","您提问","","",""
"home.how.s1.desc","Type your question in your own words. ""Can my landlord raise the rent?"" works. So does ""my furnace broke and I am cold.""","用您自己的话输入问题。""我的房东可以涨租金吗？""可以。""我的暖气坏了，我很冷。""也可以。","","",""
"home.how.s2.title","We find the law","我们查找法律","","",""
"home.how.s2.desc","We search the actual Illinois statutes, Chicago ordinances, or program rules that apply to your question.","我们搜索适用于您问题的伊利诺伊州法律、芝加哥条例或项目规则。","","",""
"home.how.s3.title","You get a clear answer","您获得清晰的回答","","",""
"home.how.s3.desc","We give you a plain-language answer with the exact law cited, so you can verify it yourself or show it to a lawyer.","我们为您提供通俗易懂的回答，并附上确切引用的法律，以便您自己核实或出示给律师。","","",""
"home.how.s4.title","You find help","您找到帮助","","",""
"home.how.s4.desc","Every answer ends with a real legal aid organization you can call for help with your specific situation.","每个回答都以一个真实的法律援助机构结尾，您可以打电话寻求针对您具体情况的帮助。","","",""
"home.walk.eyebrow","How to use this site","如何使用本网站","","",""
"home.walk.title","Five steps from question to help.","从提问到获得帮助的五个步骤。","","",""
"home.walk.sub","Whether you are facing an emergency or just curious about your rights, here is how to get the most from Rights Within Reach.","无论您正面临紧急情况，还是只是想了解自己的权利，以下是如何充分利用 Rights Within Reach。","","",""
"home.walk.s1.lead","Pick a language.","选择一种语言。","","",""
"home.walk.s1.body","The bar at the top of every page lets you switch between English, Spanish, Chinese, Tagalog, and Vietnamese. The whole site changes, not just the menu.","每个页面顶部的栏让您可以在英语、西班牙语、中文、他加禄语和越南语之间切换。整个网站都会改变，而不仅仅是菜单。","","",""
"home.walk.s2.lead","Pick a topic, or just start typing.","选择一个主题，或直接开始输入。","","",""
"home.walk.s2.body","You can either pick one of the four topic cards on this page, or jump straight to the chatbot and ask anything.","您可以选择本页面上的四个主题卡片之一，或直接进入聊天机器人提出任何问题。","","",""
"home.walk.s3.lead","Read the short answer.","阅读简短的回答。","","",""
"home.walk.s3.body","The chatbot gives you a clear answer with the actual law it comes from. Big numbers and key dates are pulled out so you can scan them quickly.","聊天机器人会给您一个清晰的回答，并附上其来源的具体法律。重要的数字和关键日期会被突出显示，方便您快速浏览。","","",""
"home.walk.s4.lead","Tap to read more.","点击阅读更多。","","",""
"home.walk.s4.body","Every answer links to a full topic page with deeper information, common questions, and the full list of programs or rules that apply.","每个回答都链接到一个完整的主题页面，提供更深入的信息、常见问题以及适用的项目或规则的完整列表。","","",""
"home.walk.s5.lead","Get connected to a real person.","与真人联系。","","",""
"home.walk.s5.body","Every answer and every topic page ends with one or more legal aid organizations you can call for help. We tell you their phone number, their hours, and what to bring.","每个回答和每个主题页面都以一个或多个您可以致电求助的法律援助机构结尾。我们会告诉您他们的电话号码、办公时间以及需要带什么。","","",""
"home.topics.eyebrow","Choose a topic","选择一个主题","","",""
"home.topics.title","What can we help with?","我们能帮您做什么？","","",""
"home.topics.mostAsked","Most asked","最常问","","",""
"home.topics.new","New","新","","",""
"home.hero.svg1","""Can my","「我的房东","","",""
"home.hero.svg2","landlord do","能这样","","",""
"home.hero.svg3","that?""","做吗？」","","",""
"home.topic.housing.aria","Housing and rent topic, most asked","住房与租金主题，最常问","","",""
"home.topic.benefits.aria","Public benefits topic, new","公共福利主题，新","","",""
"ticker.free","Free to use","免费使用","","",""
"ticker.plain","Plain language","通俗语言","","",""
"ticker.multilingual","Multilingual","多语言","","",""
"ticker.cited","Cited sources","引用来源","","",""
"ticker.noLogin","No login needed","无需登录","","",""
"ticker.chicago","Built in Chicago","在芝加哥打造","","",""
"ticker.play","Play the scrolling banner","播放滚动横幅","","",""
"ticker.pause","Pause the scrolling banner","暂停滚动横幅","","",""
"home.topics.readMore","Read more →","阅读更多 →","","",""
"home.topic.housing.title","Housing & rent","住房与租金","","",""
"home.topic.housing.desc","Eviction, deposits, repairs, leases, rent increases","驱逐、押金、维修、租约、租金上涨","","",""
"home.topic.money.title","Money & debt","金钱与债务","","",""
"home.topic.money.desc","Wages, utilities, debt collectors, garnishment","工资、公用事业、催债人、工资扣押","","",""
"home.topic.repairs.title","Home repairs","房屋维修","","",""
"home.topic.repairs.desc","Grants for roof, heating, plumbing, accessibility","屋顶、供暖、管道、无障碍改造补助","","",""
"home.topic.benefits.title","Public benefits","公共福利","","",""
"home.topic.benefits.desc","SNAP, Medicaid, All Kids, energy assistance","SNAP、Medicaid、All Kids、能源补助","","",""
"home.partners.eyebrow","Built in partnership with","合作伙伴","","",""
"home.partners.title","Real legal aid organizations across Illinois.","遍布伊利诺伊州的真实法律援助机构。","","",""
"home.partners.body","Every answer in Rights Within Reach has been shaped by feedback from practicing attorneys and content directors at organizations that serve Illinois residents every day. Their guidance keeps us honest about what we can and cannot do.","Rights Within Reach 中的每个回答都借鉴了每天为伊利诺伊州居民服务的机构中执业律师和内容主管的反馈。他们的指导让我们对自己能做什么和不能做什么保持诚实。","","",""
"topic.summaryEyebrow","Quick summary","快速摘要","","",""
"topic.summaryTitle","What you need to know.","您需要了解的内容。","","",""
"topic.startHere","★ Start here","★ 从这里开始","","",""
"topic.startHereBody","If you only have time to read one thing, read the FAQ below. Each answer cites the law it comes from.","如果您只有时间读一样东西，请阅读下面的常见问题。每个回答都引用其来源的法律。","","",""
"topic.faqEyebrow","Common questions","常见问题","","",""
"topic.faqTitle","The questions people ask most.","人们最常问的问题。","","",""
"topic.source","Source:","来源：","","",""
"topic.programsEyebrow","Programs & rules","项目与规则","","",""
"topic.programsTitle","What is available and how to apply.","有哪些可用资源以及如何申请。","","",""
"topic.actionEyebrow","How to use this information","如何使用这些信息","","",""
"topic.actionTitle","Step-by-step next actions.","逐步的下一步行动。","","",""
"topic.actionIntro","Reading the law is the first step. Here is what to do with what you just learned.","阅读法律是第一步。以下是如何运用您刚刚学到的内容。","","",""
"topic.helpEyebrow","Get help","获取帮助","","",""
"topic.helpTitle","Talk to a real person.","与真人交谈。","","",""
"topic.helpIntro","If your situation is urgent, complicated, or you want someone to review your case, these organizations help Illinois residents for free.","如果您的情况紧急、复杂，或者您希望有人审查您的案件，这些机构免费帮助伊利诺伊州居民。","","",""
"topic.seeAll","See all resources →","查看所有资源 →","","",""
"topic.askAnother","Ask another question","再问一个问题","","",""
"speak.listen","Listen","朗读","","",""
"speak.stop","Stop","停止","","",""
"speak.readSection","Read this section aloud","朗读本节","","",""
"speak.stopSection","Stop reading","停止朗读","","",""
"speak.settings","Voice & speed","语音与速度","","",""
"speak.speed","Speed","速度","","",""
"speak.slow","Slow","慢","","",""
"speak.normal","Normal","正常","","",""
"speak.fast","Fast","快","","",""
"speak.voice","Voice","语音","","",""
"speak.voiceAuto","Automatic","自动","","",""
"speak.voiceForLang","Recommended for this language","推荐用于此语言","","",""
"speak.voiceAll","Other voices","其他语音","","",""
"res.hero.eyebrow","Find help","寻找帮助","","",""
"res.hero.title","Real people who can help.","能帮助您的真实人员。","","",""
"res.hero.sub","Every organization on this page provides free or sliding-scale legal help to Illinois residents. Most have multilingual staff. None will charge you for a consultation.","本页面上的每个机构都为伊利诺伊州居民提供免费或按收入计费的法律帮助。大多数都有多语种工作人员。没有一家会向您收取咨询费。","","",""
"res.featured.eyebrow","If you need help now","如果您现在需要帮助","","",""
"res.featured.title","Start here, no matter what your problem is.","无论您遇到什么问题，都从这里开始。","","",""
"res.featured.sub","If you are not sure who to call, start with these — they triage you to the right place.","如果您不确定该打给谁，先从这些开始——他们会为您转介到正确的地方。","","",""
"res.cat.housing.eyebrow","Housing & eviction","住房与驱逐","","",""
"res.cat.housing.title","Get help with rent, eviction, repairs, and deposits.","获得关于租金、驱逐、维修和押金的帮助。","","",""
"res.cat.money.eyebrow","Money & debt","金钱与债务","","",""
"res.cat.money.title","Help with debt, garnishment, and utilities.","关于债务、工资扣押和公用事业的帮助。","","",""
"res.cat.repairs.eyebrow","Home repairs","房屋维修","","",""
"res.cat.repairs.title","Apply for grants to fix your home.","申请补助来修缮您的房屋。","","",""
"res.cat.benefits.eyebrow","Public benefits","公共福利","","",""
"res.cat.benefits.title","Apply for, appeal, or restore your benefits.","申请、上诉或恢复您的福利。","","",""
"res.cat.court.eyebrow","Court & self-help","法庭与自助","","",""
"res.cat.court.title","Going to court without a lawyer.","没有律师也能上法庭。","","",""
"res.cat.safety.eyebrow","Safety & domestic violence","安全与家庭暴力","","",""
"res.cat.safety.title","If you are not safe at home.","如果您在家中不安全。","","",""
"res.cat.veterans.eyebrow","Veterans","退伍军人","","",""
"res.cat.veterans.title","Help for veterans and their families.","为退伍军人及其家庭提供帮助。","","",""
"res.cat.lgbtq.eyebrow","LGBTQ+","LGBTQ+","","",""
"res.cat.lgbtq.title","Affirming legal, housing, and health help.","给予肯定的法律、住房和健康帮助。","","",""
"res.today.eyebrow","What to do right now","现在该做什么","","",""
"res.today.title","Five things to do today.","今天要做的五件事。","","",""
"res.today.sub","If you are facing a legal problem, doing these five things in the next 24 hours will protect your rights and make it easier to get help.","如果您面临法律问题，在接下来的24小时内做这五件事将保护您的权利，并让获得帮助变得更容易。","","",""
"res.today.s1.lead","Take photos of everything.","把一切都拍下来。","","",""
"res.today.s1.body","Any letter, notice, condition, or damage that matters to your case. Photos are evidence.","任何对您的案件重要的信件、通知、状况或损坏。照片就是证据。","","",""
"res.today.s2.lead","Write down the dates.","记下日期。","","",""
"res.today.s2.body","When did the problem start? When did you tell someone? When did they respond? Specific dates matter in court.","问题何时开始？您何时告诉了别人？他们何时回应？确切的日期在法庭上很重要。","","",""
"res.today.s3.lead","Save every piece of paper.","保存每一张纸。","","",""
"res.today.s3.body","Notices, bills, leases, letters, and texts. Put them in one folder you can grab quickly.","通知、账单、租约、信件和短信。把它们放在一个您能快速拿到的文件夹里。","","",""
"res.today.s4.lead","Call one of the legal aid organizations on this page.","致电本页面上的一家法律援助机构。","","",""
"res.today.s4.body","Do not wait for a court date. Call now, even if you think your case is too small. Most consultations are free.","不要等到开庭日期。现在就打电话，即使您觉得案件太小。大多数咨询都是免费的。","","",""
"res.today.s5.lead","Do not sign anything you do not understand.","不要签署任何您不理解的东西。","","",""
"res.today.s5.body","If your landlord, debt collector, or employer asks you to sign something, take a copy home first and ask a lawyer.","如果您的房东、催债人或雇主要您签字，先把副本带回家，并咨询律师。","","",""
"res.today.calloutLabel","★ Important","★ 重要","","",""
"res.today.calloutBody","If you are in immediate danger or your situation is urgent, do not wait. Call 911 for emergencies, or 311 for serious living conditions in Chicago. For an eviction filed against you, contact a legal aid organization within 24 hours.","如果您面临紧急危险或情况紧急，不要等待。紧急情况请拨打911，芝加哥严重的居住状况请拨打311。如果有人对您提起驱逐诉讼，请在24小时内联系法律援助机构。","","",""
"res.bring.eyebrow","What to bring","需要带什么","","",""
"res.bring.title","Prepare for your first legal aid meeting.","为您的第一次法律援助会面做准备。","","",""
"res.bring.sub","Most consultations only last 30 minutes. Bring the right documents and you will get more out of the meeting.","大多数咨询只持续30分钟。带上正确的文件，您就能从会面中收获更多。","","",""
